# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 7)   0.667 us    |  sealfs_show_options [sealfs]();
 7)   0.827 us    |  sealfs_show_options [sealfs]();
 7)   0.629 us    |  sealfs_show_options [sealfs]();
 7)   0.719 us    |  sealfs_show_options [sealfs]();
 7)   0.610 us    |  sealfs_show_options [sealfs]();
 7)   0.712 us    |  sealfs_show_options [sealfs]();
 7)   0.626 us    |  sealfs_show_options [sealfs]();
 7)   0.770 us    |  sealfs_show_options [sealfs]();
 7)   0.609 us    |  sealfs_show_options [sealfs]();
 7)   0.806 us    |  sealfs_show_options [sealfs]();
 7)   0.663 us    |  sealfs_show_options [sealfs]();
 7)   0.721 us    |  sealfs_show_options [sealfs]();
 7)   0.604 us    |  sealfs_show_options [sealfs]();
 7)   0.681 us    |  sealfs_show_options [sealfs]();
 7)   0.596 us    |  sealfs_show_options [sealfs]();
 7)   0.737 us    |  sealfs_show_options [sealfs]();
 7)   0.627 us    |  sealfs_show_options [sealfs]();
 7)   0.699 us    |  sealfs_show_options [sealfs]();
 7)   0.576 us    |  sealfs_show_options [sealfs]();
 7)   0.758 us    |  sealfs_show_options [sealfs]();
 7)   0.613 us    |  sealfs_show_options [sealfs]();
 3) * 10371.98 us |  sealfs_write [sealfs]();
 3) * 10305.45 us |  sealfs_write [sealfs]();
 ------------------------------------------
 5)  <...>-316766  => ros1sea-314283
 ------------------------------------------

 5) * 10389.09 us |  sealfs_write [sealfs]();
 5) * 10505.27 us |  sealfs_write [sealfs]();
 5) * 10097.14 us |  sealfs_write [sealfs]();
 5) * 10560.54 us |  sealfs_write [sealfs]();
 5) * 11916.32 us |  sealfs_write [sealfs]();
 5) * 11180.86 us |  sealfs_write [sealfs]();
 5) * 11230.72 us |  sealfs_write [sealfs]();
 5) * 11429.16 us |  sealfs_write [sealfs]();
 5) * 11307.19 us |  sealfs_write [sealfs]();
 5) * 10900.61 us |  sealfs_write [sealfs]();
 5) * 11452.46 us |  sealfs_write [sealfs]();
 5) * 11343.09 us |  sealfs_write [sealfs]();
 5) * 12844.06 us |  sealfs_write [sealfs]();
 5) * 10848.69 us |  sealfs_write [sealfs]();
 5) * 11129.27 us |  sealfs_write [sealfs]();
 ------------------------------------------
 6) (openvp-317251 => ros1sea-314283
 ------------------------------------------

 6) * 10766.45 us |  sealfs_write [sealfs]();
 6) * 11008.58 us |  sealfs_write [sealfs]();
 6) * 11294.77 us |  sealfs_write [sealfs]();
 6) * 11437.51 us |  sealfs_write [sealfs]();
 6) * 11790.75 us |  sealfs_write [sealfs]();
 6) * 13071.06 us |  sealfs_write [sealfs]();
 6) * 11377.05 us |  sealfs_write [sealfs]();
 ------------------------------------------
 6) ros1sea-314283 =>  <...>-317757 
 ------------------------------------------

 6)   2.316 us    |  sealfs_show_options [sealfs]();
 6)   0.586 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 7) (openvp-317251 =>  <...>-317757 
 ------------------------------------------

 7)   1.462 us    |  sealfs_show_options [sealfs]();
 7)   0.563 us    |  sealfs_show_options [sealfs]();
 7)   1.004 us    |  sealfs_show_options [sealfs]();
 7)   0.998 us    |  sealfs_show_options [sealfs]();
 7)   0.804 us    |  sealfs_show_options [sealfs]();
 7)   0.737 us    |  sealfs_show_options [sealfs]();
 7)   1.365 us    |  sealfs_show_options [sealfs]();
 7)   0.866 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 0) openvpn-316243 =>  <...>-317757 
 ------------------------------------------

 0)   1.860 us    |  sealfs_show_options [sealfs]();
 0)   0.562 us    |  sealfs_show_options [sealfs]();
 0)   0.569 us    |  sealfs_show_options [sealfs]();
 0)   0.494 us    |  sealfs_show_options [sealfs]();
 0)   1.174 us    |  sealfs_show_options [sealfs]();
 0)   0.622 us    |  sealfs_show_options [sealfs]();
 0)   0.782 us    |  sealfs_show_options [sealfs]();
 0)   0.649 us    |  sealfs_show_options [sealfs]();
 0)   0.722 us    |  sealfs_show_options [sealfs]();
 0)   0.679 us    |  sealfs_show_options [sealfs]();
 0)   0.784 us    |  sealfs_show_options [sealfs]();
 0)   0.727 us    |  sealfs_show_options [sealfs]();
 0)   0.724 us    |  sealfs_show_options [sealfs]();
 0)   0.709 us    |  sealfs_show_options [sealfs]();
 0)   0.726 us    |  sealfs_show_options [sealfs]();
 0)   0.690 us    |  sealfs_show_options [sealfs]();
 0)   0.781 us    |  sealfs_show_options [sealfs]();
 0)   0.776 us    |  sealfs_show_options [sealfs]();
 0)   0.783 us    |  sealfs_show_options [sealfs]();
 0)   0.636 us    |  sealfs_show_options [sealfs]();
 0)   0.751 us    |  sealfs_show_options [sealfs]();
 0)   0.684 us    |  sealfs_show_options [sealfs]();
 0)   0.697 us    |  sealfs_show_options [sealfs]();
 0)   0.695 us    |  sealfs_show_options [sealfs]();
 0)   0.769 us    |  sealfs_show_options [sealfs]();
 0)   0.742 us    |  sealfs_show_options [sealfs]();
 5) * 10932.87 us |  sealfs_write [sealfs]();
 5) * 11168.98 us |  sealfs_write [sealfs]();
 5) * 11216.82 us |  sealfs_write [sealfs]();
 5) * 11118.28 us |  sealfs_write [sealfs]();
 5) * 11344.08 us |  sealfs_write [sealfs]();
 5) * 11338.31 us |  sealfs_write [sealfs]();
 5) * 11009.27 us |  sealfs_write [sealfs]();
 5) * 10695.79 us |  sealfs_write [sealfs]();
 5) * 13520.76 us |  sealfs_write [sealfs]();
 5) * 11105.50 us |  sealfs_write [sealfs]();
 5) * 11082.80 us |  sealfs_write [sealfs]();
 5) * 10889.13 us |  sealfs_write [sealfs]();
 5) * 11494.35 us |  sealfs_write [sealfs]();
 5) * 11487.23 us |  sealfs_write [sealfs]();
 5) * 11967.29 us |  sealfs_write [sealfs]();
 5) * 11066.68 us |  sealfs_write [sealfs]();
 5) * 11044.38 us |  sealfs_write [sealfs]();
 5) * 11329.64 us |  sealfs_write [sealfs]();
 5) * 11540.52 us |  sealfs_write [sealfs]();
 5) * 11135.40 us |  sealfs_write [sealfs]();
 5) * 11332.64 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1)  collect-1285  =>  collect-1284 
 ------------------------------------------

 1)   5.683 us    |  sealfs_show_options [sealfs]();
 2)   2.525 us    |  sealfs_statfs [sealfs]();
 5) * 11472.47 us |  sealfs_write [sealfs]();
 5) * 11776.17 us |  sealfs_write [sealfs]();
 5) * 12346.08 us |  sealfs_write [sealfs]();
 5) * 11084.81 us |  sealfs_write [sealfs]();
 ------------------------------------------
 2)  collect-1284  => openvpn-318229
 ------------------------------------------

 2)   2.098 us    |  sealfs_show_options [sealfs]();
 2)   0.826 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 7)  <...>-317757  => openvpn-318229
 ------------------------------------------

 7)   1.409 us    |  sealfs_show_options [sealfs]();
 7)   0.819 us    |  sealfs_show_options [sealfs]();
 7)   1.031 us    |  sealfs_show_options [sealfs]();
 7)   0.834 us    |  sealfs_show_options [sealfs]();
 7)   0.929 us    |  sealfs_show_options [sealfs]();
 7)   1.111 us    |  sealfs_show_options [sealfs]();
 7)   0.911 us    |  sealfs_show_options [sealfs]();
 7)   0.764 us    |  sealfs_show_options [sealfs]();
 7)   0.869 us    |  sealfs_show_options [sealfs]();
 7)   0.749 us    |  sealfs_show_options [sealfs]();
 7)   0.835 us    |  sealfs_show_options [sealfs]();
 7)   0.756 us    |  sealfs_show_options [sealfs]();
 7)   0.790 us    |  sealfs_show_options [sealfs]();
 7)   0.745 us    |  sealfs_show_options [sealfs]();
 7)   0.977 us    |  sealfs_show_options [sealfs]();
 7)   0.798 us    |  sealfs_show_options [sealfs]();
 7)   0.779 us    |  sealfs_show_options [sealfs]();
 7)   0.725 us    |  sealfs_show_options [sealfs]();
 7)   1.105 us    |  sealfs_show_options [sealfs]();
 7)   0.803 us    |  sealfs_show_options [sealfs]();
 7)   0.756 us    |  sealfs_show_options [sealfs]();
 7)   0.775 us    |  sealfs_show_options [sealfs]();
 7)   0.764 us    |  sealfs_show_options [sealfs]();
 7)   0.786 us    |  sealfs_show_options [sealfs]();
 7)   0.819 us    |  sealfs_show_options [sealfs]();
 7)   0.697 us    |  sealfs_show_options [sealfs]();
 7)   0.747 us    |  sealfs_show_options [sealfs]();
 7)   1.263 us    |  sealfs_show_options [sealfs]();
 7)   0.824 us    |  sealfs_show_options [sealfs]();
 7)   0.749 us    |  sealfs_show_options [sealfs]();
 7)   0.806 us    |  sealfs_show_options [sealfs]();
 7)   0.752 us    |  sealfs_show_options [sealfs]();
 7)   0.881 us    |  sealfs_show_options [sealfs]();
 7)   0.723 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 0)  <...>-317757  =>   systemd-1   
 ------------------------------------------

 0)   2.120 us    |  init_once();
