# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 4) + 10.255 us   |  ext4_file_write_iter();
 7)   1.794 us    |  ext4_file_write_iter();
 7)   1.778 us    |  ext4_file_write_iter();
 7)   1.714 us    |  ext4_file_write_iter();
 7)   1.979 us    |  ext4_file_write_iter();
 7)   1.919 us    |  ext4_file_write_iter();
 7)   1.992 us    |  ext4_file_write_iter();
 7)   1.822 us    |  ext4_file_write_iter();
 7)   2.565 us    |  ext4_file_write_iter();
 7)   1.873 us    |  ext4_file_write_iter();
 7)   2.430 us    |  ext4_file_write_iter();
 7)   2.750 us    |  ext4_file_write_iter();
 7)   1.793 us    |  ext4_file_write_iter();
 7)   1.833 us    |  ext4_file_write_iter();
 7)   1.876 us    |  ext4_file_write_iter();
 7)   2.118 us    |  ext4_file_write_iter();
 7)   1.882 us    |  ext4_file_write_iter();
 7)   1.788 us    |  ext4_file_write_iter();
 7)   2.222 us    |  ext4_file_write_iter();
 7)   1.763 us    |  ext4_file_write_iter();
 7)   1.812 us    |  ext4_file_write_iter();
 7)   1.727 us    |  ext4_file_write_iter();
 7)   1.693 us    |  ext4_file_write_iter();
 7)   2.451 us    |  ext4_file_write_iter();
 7) + 15.470 us   |  ext4_file_write_iter();
 7)   1.921 us    |  ext4_file_write_iter();
 7)   1.811 us    |  ext4_file_write_iter();
 7)   2.409 us    |  ext4_file_write_iter();
 7)   2.125 us    |  ext4_file_write_iter();
 7)   1.887 us    |  ext4_file_write_iter();
 7)   1.858 us    |  ext4_file_write_iter();
 7)   1.861 us    |  ext4_file_write_iter();
 7)   1.788 us    |  ext4_file_write_iter();
 7)   2.361 us    |  ext4_file_write_iter();
 7)   2.085 us    |  ext4_file_write_iter();
 7)   1.772 us    |  ext4_file_write_iter();
 7)   2.120 us    |  ext4_file_write_iter();
 7)   2.001 us    |  ext4_file_write_iter();
 7)   1.781 us    |  ext4_file_write_iter();
 7)   1.877 us    |  ext4_file_write_iter();
 7)   1.732 us    |  ext4_file_write_iter();
 7)   1.832 us    |  ext4_file_write_iter();
 7)   1.796 us    |  ext4_file_write_iter();
 7)   1.908 us    |  ext4_file_write_iter();
 7)   2.096 us    |  ext4_file_write_iter();
 7)   1.806 us    |  ext4_file_write_iter();
 7)   1.784 us    |  ext4_file_write_iter();
 7)   2.078 us    |  ext4_file_write_iter();
 7)   1.736 us    |  ext4_file_write_iter();
 7)   2.156 us    |  ext4_file_write_iter();
 7)   1.997 us    |  ext4_file_write_iter();
 7)   1.800 us    |  ext4_file_write_iter();
 7)   2.301 us    |  ext4_file_write_iter();
 7)   1.837 us    |  ext4_file_write_iter();
 7)   1.982 us    |  ext4_file_write_iter();
 7)   1.784 us    |  ext4_file_write_iter();
 7)   1.786 us    |  ext4_file_write_iter();
 7)   1.978 us    |  ext4_file_write_iter();
 7)   1.747 us    |  ext4_file_write_iter();
 7)   2.476 us    |  ext4_file_write_iter();
 7)   2.160 us    |  ext4_file_write_iter();
 7)   1.785 us    |  ext4_file_write_iter();
 7)   2.364 us    |  ext4_file_write_iter();
 7)   1.821 us    |  ext4_file_write_iter();
 7)   1.870 us    |  ext4_file_write_iter();
 7)   1.865 us    |  ext4_file_write_iter();
 7)   1.773 us    |  ext4_file_write_iter();
 7)   1.858 us    |  ext4_file_write_iter();
 7)   1.974 us    |  ext4_file_write_iter();
 7)   1.796 us    |  ext4_file_write_iter();
 7)   1.739 us    |  ext4_file_write_iter();
 7)   2.085 us    |  ext4_file_write_iter();
 7)   2.017 us    |  ext4_file_write_iter();
 7)   1.733 us    |  ext4_file_write_iter();
 7)   1.820 us    |  ext4_file_write_iter();
 7)   1.739 us    |  ext4_file_write_iter();
 7)   2.358 us    |  ext4_file_write_iter();
 7)   2.557 us    |  ext4_file_write_iter();
 7)   2.453 us    |  ext4_file_write_iter();
 7)   2.757 us    |  ext4_file_write_iter();
 7)   1.874 us    |  ext4_file_write_iter();
 7)   1.939 us    |  ext4_file_write_iter();
 7)   2.008 us    |  ext4_file_write_iter();
 7)   2.030 us    |  ext4_file_write_iter();
 7)   1.768 us    |  ext4_file_write_iter();
 7)   2.237 us    |  ext4_file_write_iter();
 7)   1.901 us    |  ext4_file_write_iter();
 7)   1.879 us    |  ext4_file_write_iter();
 7)   1.835 us    |  ext4_file_write_iter();
 7)   1.842 us    |  ext4_file_write_iter();
 7)   2.004 us    |  ext4_file_write_iter();
 7)   1.836 us    |  ext4_file_write_iter();
 7)   1.856 us    |  ext4_file_write_iter();
 7)   1.994 us    |  ext4_file_write_iter();
 7)   1.847 us    |  ext4_file_write_iter();
 7)   2.031 us    |  ext4_file_write_iter();
 7)   1.957 us    |  ext4_file_write_iter();
 7)   1.814 us    |  ext4_file_write_iter();
