Summit Bandwidth on Navigation Test,bandwidth (kB/s)
sealfs,15.42
sealfs,7.71
sealfs,15.44
sealfs,11.58
sealfs,15.44
sealfs,3.86
sealfs,15.44
sealfs,7.72
sealfs,7.72
sealfs,15.44
sealfs,7.73
sealfs,15.41
sealfs,7.72
sealfs,15.46
sealfs,15.45
sealfs,7.7
sealfs,7.72
sealfs,15.44
sealfs,15.43
sealfs,7.72
sealfs,15.44
sealfs,7.72
sealfs,15.43
sealfs,7.72
sealfs,15.45
sealfs,7.74
sealfs,15.43
sealfs,15.45
sealfs,7.72
sealfs,15.43
sealfs,7.72
sealfs,15.43
sealfs,7.72
sealfs,15.44
sealfs,7.72
sealfs,15.45
sealfs,7.72
sealfs,15.45
sealfs,15.38
sealfs,7.72
sealfs,15.45
sealfs,3.86
sealfs,7.72
sealfs,15.47
sealfs,15.45
sealfs,7.73
sealfs,7.73
sealfs,15.45
sealfs,15.45
sealfs,7.73
sealfs,15.46
sealfs,7.73
sealfs,15.45
sealfs,3.86
sealfs,15.45
sealfs,7.71
sealfs,15.45
sealfs,7.73
sealfs,15.44
sealfs,15.45
sealfs,7.72
sealfs,15.46
sealfs,7.71
sealfs,15.44
sealfs,7.72
sealfs,15.45
sealfs,3.86
sealfs,15.44
sealfs,15.44
sealfs,7.72
sealfs,15.39
sealfs,7.72
sealfs,15.46
sealfs,7.73
sealfs,15.34
sealfs,11.59
sealfs,15.44
sealfs,15.44
sealfs,7.72
sealfs,3.86
sealfs,15.45
sealfs,15.41
sealfs,7.73
sealfs,15.46
sealfs,7.73
sealfs,15.47
sealfs,7.73
sealfs,15.45
sealfs,7.72
sealfs,15.44
sealfs,7.72
sealfs,15.45
sealfs,7.67
sealfs,15.38
sealfs,15.35
sealfs,7.72
sealfs,15.32
sealfs,7.73
sealfs,15.44
sealfs,7.71
sealfs,15.44
sealfs,15.44
sealfs,7.72
sealfs,7.72
sealfs,15.45
sealfs,15.44
sealfs,7.7
sealfs,15.36
sealfs,7.72
sealfs,11.58
sealfs,7.63
sealfs,15.31
sealfs,7.73
sealfs,15.44
sealfs,7.72
sealfs,15.33
sealfs,7.72
sealfs,15.44
sealfs,7.65
sealfs,15.32
sealfs,7.65
sealfs,15.32
sealfs,15.3
sealfs,11.52
sealfs,3.83
sealfs,15.45
sealfs,15.46
sealfs,7.68
sealfs,15.36
sealfs,7.66
sealfs,15.38
sealfs,7.72
sealfs,15.36
sealfs,15.38
sealfs,7.72
sealfs,3.86
sealfs,15.44
sealfs,15.44
sealfs,7.72
sealfs,15.37
sealfs,7.72
sealfs,15.45
sealfs,7.68
sealfs,15.44
sealfs,7.72
sealfs,15.38
sealfs,7.69
sealfs,15.37
sealfs,7.68
sealfs,15.45
sealfs,15.44
sealfs,7.73
sealfs,15.41
sealfs,7.71
sealfs,15.41
sealfs,7.65
