Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10301.31
ext4_video,10301.04
ext4_video,10300.87
ext4_video,10300.86
sealfs_video,10300.84
ext4_video,10300.79
ext4_video,10300.31
sealfs_video,10300
sealfs_video,10299.89
ext4_video,10299.66
ext4_video,10299.44
ext4_video,10299.33
ext4_video,10299.06
ext4_video,10298.99
ext4_video,10298.96
sealfs_video,10298.94
ext4_video,10298.25
ext4_video,10298.25
ext4_video,10298.09
ext4_video,10298.08
ext4_video,10297.3
ext4_video,10297.15
ext4_video,10297.08
ext4_video,10296.94
ext4_video,10296.81
ext4_video,10296.78
ext4_video,10296.69
ext4_video,10296.31
sealfs_video,10296.24
ext4_video,10296.06
ext4_video,10296.03
ext4_video,10295.97
sealfs_video,10295.86
ext4_video,10295.52
sealfs_video,10295.4
ext4_video,10295.23
ext4_video,10294.96
ext4_video,10294.96
ext4_video,10294.67
ext4_video,10294.63
ext4_video,10294.57
ext4_video,10294.53
ext4_video,10294.47
sealfs_video,10294.4
ext4_video,10294.37
ext4_video,10294.06
ext4_video,10293.85
sealfs_video,10293.67
ext4_video,10293.23
ext4_video,10293.11
sealfs_video,10293.11
ext4_video,10293.02
sealfs_video,10292.89
ext4_video,10292.84
sealfs_video,10292.62
ext4_video,10292.51
ext4_video,10292.25
sealfs_video,10292.1
sealfs_video,10292.07
ext4_video,10291.61
ext4_video,10291.58
ext4_video,10291.57
ext4_video,10291.54
ext4_video,10291.51
ext4_video,10291.31
sealfs_video,10291.29
ext4_video,10291.27
ext4_video,10291.2
ext4_video,10290.71
ext4_video,10290.44
ext4_video,10290.42
ext4_video,10290.17
ext4_video,10289.82
ext4_video,10289.81
ext4_video,10289.76
ext4_video,10289.75
ext4_video,10289.68
ext4_video,10289.52
ext4_video,10289.32
ext4_video,10289.27
ext4_video,10289.17
sealfs_video,10289.12
ext4_video,10289.04
sealfs_video,10288.94
sealfs_video,10288.63
ext4_video,10288.43
ext4_video,10288.25
ext4_video,10287.89
ext4_video,10287.69
ext4_video,10287.58
ext4_video,10287.15
ext4_video,10287.14
ext4_video,10287.13
ext4_video,10286.83
ext4_video,10286.55
ext4_video,10286.46
ext4_video,10286.42
sealfs_video,10286.25
ext4_video,10286.09
ext4_video,10286.05
ext4_video,10285.92
sealfs_video,10285.54
