Summit Throughtput on Video Test,Bandwidth (kB/s)
ext4,10254.81
ext4,10254.72
ext4,10254.47
ext4,10254.33
ext4,10254.32
ext4,10254.19
ext4,10253.78
ext4,10253.75
ext4,10253.61
ext4,10253.53
ext4,10253.29
ext4,10253.26
ext4,10252.98
ext4,10252.41
ext4,10252.25
ext4,10252.05
ext4,10251.95
sealfs,10251.91
ext4,10251.33
sealfs,10251.16
ext4,10250.88
ext4,10250.66
ext4,10250.49
ext4,10249.15
ext4,10248.99
ext4,10248.28
ext4,10248.11
ext4,10247.7
ext4,10247.68
ext4,10246.96
ext4,10246.18
sealfs,10245.98
ext4,10245.49
ext4,10244.7
ext4,10244.6
ext4,10244.44
ext4,10243.95
ext4,10243.86
ext4,10243.75
ext4,10243.11
ext4,10242.52
ext4,10242
sealfs,10241.16
ext4,10240.48
ext4,10239.79
ext4,10238.73
sealfs,10237.8
ext4,10237.62
ext4,10237.53
ext4,10236.78
ext4,10236.71
ext4,10236.42
ext4,10236.35
ext4,10235.17
ext4,10234.34
ext4,10234.33
ext4,10234.22
ext4,10234.12
ext4,10234.03
ext4,10233.99
ext4,10233.86
sealfs,10233.66
ext4,10231.93
ext4,10230.23
ext4,10230.06
ext4,10229.99
ext4,10229.98
ext4,10229.95
ext4,10229.51
ext4,10229.43
ext4,10229.15
ext4,10228.83
ext4,10228.83
ext4,10228.6
ext4,10227.47
ext4,10227.07
ext4,10226.95
ext4,10226.56
ext4,10226.52
ext4,10226.38
ext4,10225.91
ext4,10225.72
ext4,10225.52
sealfs,10225.36
ext4,10225.32
ext4,10225.3
ext4,10225.3
ext4,10225.27
ext4,10225.27
ext4,10225.05
ext4,10224.93
ext4,10224.8
ext4,10224.78
ext4,10224.72
ext4,10224.61
ext4,10224.52
ext4,10223.69
ext4,10223.67
ext4,10223.32
ext4,10223.09
ext4,10223.05
ext4,10222.72
ext4,10222.6
ext4,10222.32
ext4,10222.13
ext4,10222.12
sealfs,10222.01
ext4,10221.34
ext4,10221.3
ext4,10220.99
ext4,10220.89
ext4,10220.71
ext4,10220.67
ext4,10220.38
ext4,10220.28
ext4,10220.02
ext4,10219.32
ext4,10219.27
ext4,10219.19
ext4,10219.11
ext4,10218.85
ext4,10218.65
ext4,10218.6
ext4,10218.36
ext4,10218.31
ext4,10218.25
sealfs,10217.71
ext4,10217.14
ext4,10217.06
ext4,10216.66
ext4,10216.62
ext4,10216.37
ext4,10216.3
ext4,10216.01
ext4,10216
ext4,10215.56
ext4,10215.52
ext4,10214.1
ext4,10213.96
ext4,10212.57
sealfs,10212.12
ext4,10211.66
ext4,10211.6
sealfs,10211.03
ext4,10210.4
ext4,10210.38
ext4,10210.34
ext4,10210.26
ext4,10210.26
ext4,10209.71
ext4,10209.64
ext4,10209.38
ext4,10209.17
ext4,10209.15
ext4,10208.16
ext4,10207.96
sealfs,10207.93
ext4,10207.7
ext4,10207.32
ext4,10207.16
ext4,10206.95
ext4,10206.66
ext4,10206.27
ext4,10206.15
ext4,10206.04
sealfs,10205.95
ext4,10205.33
ext4,10205.27
ext4,10205.11
ext4,10205.03
ext4,10204.74
ext4,10204.65
ext4,10204.59
ext4,10204.5
ext4,10204.31
ext4,10204.23
ext4,10203.84
ext4,10203.6
ext4,10203.46
ext4,10203.38
ext4,10202.38
ext4,10201.67
ext4,10201.55
ext4,10201.04
ext4,10200.9
ext4,10200.85
ext4,10200.17
ext4,10200.12
ext4,10199.98
ext4,10199.76
ext4,10199.61
ext4,10198.91
ext4,10198.52
ext4,10198.48
ext4,10198.46
ext4,10198.41
ext4,10197.5
ext4,10197.39
ext4,10197.35
ext4,10197.31
ext4,10197.05
ext4,10196.56
ext4,10196.05
ext4,10195.79
ext4,10195.73
ext4,10195.4
sealfs,10192.72
ext4,10191.93
sealfs,10191.59
sealfs,10190.23
ext4,10189.9
ext4,10189.64
ext4,10189.54
ext4,10189.16
ext4,10186.92
ext4,10186.33
ext4,10186.21
ext4,10186.21
ext4,10186.18
ext4,10185.87
ext4,10184
ext4,10183.42
ext4,10183.37
sealfs,10183.25
ext4,10183.19
ext4,10182.81
ext4,10181.19
ext4,10180.96
ext4,10180.42
ext4,10179.91
ext4,10179.51
ext4,10179.22
ext4,10178.44
ext4,10177.85
ext4,10177.55
ext4,10177.32
sealfs,10177.22
ext4,10176.52
ext4,10176.13
ext4,10175.8
sealfs,10175.71
ext4,10175.55
ext4,10175.41
ext4,10174.79
ext4,10174.05
ext4,10173.85
ext4,10173.28
ext4,10172.42
sealfs,10171.7
ext4,10171.47
ext4,10171.39
ext4,10171.09
ext4,10170.73
ext4,10169.9
ext4,10169.66
ext4,10169.14
ext4,10169.01
ext4,10168.77
ext4,10168.51
ext4,10167.92
ext4,10167.32
ext4,10166.84
ext4,10166.76
ext4,10166.12
ext4,10165.74
ext4,10165.43
ext4,10165.4
ext4,10165.28
ext4,10165.21
ext4,10164.72
ext4,10163.09
ext4,10161.65
ext4,10161.43
ext4,10161.4
ext4,10160.34
ext4,10160.2
ext4,10159.12
ext4,10158.35
ext4,10158.16
ext4,10157.95
sealfs,10157.29
ext4,10156.08
ext4,10155.41
ext4,10154.05
ext4,10153.68
ext4,10153.37
ext4,10153.25
ext4,10153.25
ext4,10153.17
ext4,10152.48
ext4,10151.75
ext4,10151.05
ext4,10150.93
ext4,10150.1
ext4,10149.99
ext4,10149.52
ext4,10149.28
ext4,10148.69
sealfs,10148.47
ext4,10146.83
ext4,10146.55
ext4,10146.53
ext4,10146.29
ext4,10145.93
ext4,10145.46
ext4,10144.41
ext4,10143.43
ext4,10143.4
