Throughput on Video Test,Bandwidth (kB/s)
summit_ext4,10257.44
summit_sealfs,10257.41
summit_ext4,10257.38
summit_ext4,10257.11
summit_ext4,10256.96
summit_ext4,10256.84
summit_ext4,10256.79
summit_ext4,10256.76
summit_ext4,10256.36
summit_ext4,10256.29
summit_sealfs,10255.98
summit_ext4,10255.94
summit_ext4,10255.84
summit_ext4,10255.5
summit_ext4,10255.37
summit_ext4,10255.28
summit_ext4,10255.15
summit_ext4,10255.1
summit_ext4,10255.06
summit_ext4,10255
summit_ext4,10254.98
summit_ext4,10254.81
summit_ext4,10254.72
summit_ext4,10254.47
summit_ext4,10254.33
summit_ext4,10254.32
summit_ext4,10254.19
summit_ext4,10253.78
summit_ext4,10253.75
summit_ext4,10253.61
summit_ext4,10253.53
summit_ext4,10253.29
summit_ext4,10253.26
summit_ext4,10252.98
summit_ext4,10252.41
summit_ext4,10252.25
summit_ext4,10252.05
summit_ext4,10251.95
summit_sealfs,10251.91
summit_ext4,10251.33
summit_sealfs,10251.16
summit_ext4,10250.88
summit_ext4,10250.66
summit_ext4,10250.49
summit_ext4,10249.15
summit_ext4,10248.99
summit_ext4,10248.28
summit_ext4,10248.11
summit_ext4,10247.7
summit_ext4,10247.68
summit_ext4,10246.96
summit_ext4,10246.18
summit_sealfs,10245.98
summit_ext4,10245.49
summit_ext4,10244.7
summit_ext4,10244.6
summit_ext4,10244.44
summit_ext4,10243.95
summit_ext4,10243.86
summit_ext4,10243.75
summit_ext4,10243.11
summit_ext4,10242.52
summit_ext4,10242
summit_sealfs,10241.16
summit_ext4,10240.48
summit_ext4,10239.79
summit_ext4,10238.73
summit_sealfs,10237.8
summit_ext4,10237.62
summit_ext4,10237.53
summit_ext4,10236.78
summit_ext4,10236.71
summit_ext4,10236.42
summit_ext4,10236.35
summit_ext4,10235.17
summit_ext4,10234.34
summit_ext4,10234.33
summit_ext4,10234.22
summit_ext4,10234.12
summit_ext4,10234.03
summit_ext4,10233.99
summit_ext4,10233.86
summit_sealfs,10233.66
summit_ext4,10231.93
summit_ext4,10230.23
summit_ext4,10230.06
summit_ext4,10229.99
summit_ext4,10229.98
summit_ext4,10229.95
summit_ext4,10229.51
summit_ext4,10229.43
summit_ext4,10229.15
summit_ext4,10228.83
summit_ext4,10228.83
summit_ext4,10228.6
summit_ext4,10227.47
summit_ext4,10227.07
summit_ext4,10226.95
summit_ext4,10226.56
summit_ext4,10226.52
summit_ext4,10226.38
summit_ext4,10225.91
summit_ext4,10225.72
summit_ext4,10225.52
summit_sealfs,10225.36
summit_ext4,10225.32
summit_ext4,10225.3
summit_ext4,10225.3
summit_ext4,10225.27
summit_ext4,10225.27
summit_ext4,10225.05
summit_ext4,10224.93
summit_ext4,10224.8
summit_ext4,10224.78
summit_ext4,10224.72
summit_ext4,10224.61
summit_ext4,10224.52
