Throughput on Navigation Test,bandwidth (kB/s)
summit_sealfs,15.37
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.68
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.38
summit_sealfs,7.69
summit_sealfs,15.37
summit_sealfs,7.68
summit_sealfs,15.45
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,15.41
summit_sealfs,7.71
summit_sealfs,15.41
summit_sealfs,7.65
tiago_ext4,7.55
tiago_ext4,7.53
tiago_ext4,7.54
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.51
tiago_ext4,11.27
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.47
tiago_ext4,7.45
tiago_ext4,7.52
tiago_ext4,7.52
tiago_ext4,11.25
tiago_ext4,7.5
tiago_ext4,7.51
tiago_ext4,7.52
tiago_ext4,7.51
tiago_ext4,7.52
tiago_ext4,7.51
tiago_ext4,11.11
tiago_ext4,7.45
tiago_ext4,7.55
tiago_ext4,7.54
tiago_ext4,7.53
tiago_ext4,7.46
tiago_ext4,3.75
tiago_ext4,7.42
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.51
tiago_ext4,7.46
tiago_ext4,11.28
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.5
tiago_ext4,7.53
tiago_ext4,7.53
tiago_ext4,7.5
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.55
tiago_ext4,7.53
tiago_ext4,11.22
tiago_ext4,7.49
tiago_ext4,7.52
tiago_ext4,7.54
tiago_ext4,7.53
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,7.49
tiago_ext4,7.46
tiago_ext4,7.47
tiago_ext4,7.44
tiago_ext4,11.07
tiago_ext4,7.52
tiago_ext4,7.54
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,3.77
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,11.29
tiago_ext4,7.48
tiago_ext4,7.54
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,7.36
tiago_ext4,11.2
tiago_ext4,7.43
tiago_ext4,7.56
tiago_ext4,7.51
tiago_ext4,7.52
tiago_ext4,7.5
tiago_ext4,7.54
tiago_ext4,11.27
tiago_ext4,7.48
tiago_ext4,7.53
tiago_ext4,7.49
tiago_ext4,7.47
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.54
tiago_ext4,7.46
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.52
tiago_ext4,11.3
tiago_ext4,7.52
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.51
tiago_ext4,7.53
tiago_ext4,7.47
tiago_ext4,7.53
tiago_ext4,11.25
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.54
tiago_ext4,3.76
tiago_ext4,11.26
tiago_ext4,7.55
tiago_ext4,7.51
tiago_ext4,7.51
tiago_ext4,7.5
tiago_ext4,7.51
tiago_ext4,11.26
tiago_ext4,7.5
tiago_ext4,7.4
tiago_ext4,7.54
tiago_ext4,7.54
tiago_ext4,7.55
tiago_ext4,7.46
tiago_ext4,11.27
tiago_ext4,7.54
tiago_ext4,7.47
tiago_ext4,7.55
tiago_ext4,7.52
tiago_ext4,11.29
tiago_ext4,7.45
tiago_ext4,7.54
tiago_ext4,7.53
tiago_ext4,7.51
tiago_ext4,7.53
tiago_ext4,11.26
tiago_ext4,7.53
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,3.74
tiago_ext4,7.52
tiago_ext4,11.29
tiago_ext4,7.44
tiago_ext4,7.43
tiago_ext4,7.52
tiago_ext4,7.55
tiago_ext4,7.55
tiago_ext4,7.51
tiago_ext4,7.55
tiago_ext4,7.54
tiago_ext4,11.16
tiago_ext4,7.57
tiago_ext4,7.52
tiago_ext4,11.23
tiago_ext4,7.53
tiago_ext4,7.52
tiago_ext4,7.37
tiago_ext4,7.5
tiago_ext4,7.51
tiago_ext4,7.5
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.47
tiago_ext4,7.51
tiago_ext4,11.27
tiago_ext4,7.53
tiago_ext4,7.53
tiago_ext4,7.55
tiago_ext4,7.52
tiago_ext4,7.52
tiago_ext4,11.27
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.51
tiago_ext4,7.51
tiago_ext4,7.51
tiago_ext4,11.32
tiago_ext4,7.52
tiago_ext4,7.49
tiago_ext4,7.52
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.51
tiago_ext4,11.28
tiago_ext4,7.5
tiago_ext4,3.78
tiago_ext4,7.51
tiago_ext4,7.43
tiago_ext4,7.53
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.54
tiago_ext4,7.53
tiago_ext4,7.53
tiago_ext4,11.31
tiago_ext4,7.47
tiago_ext4,7.54
tiago_ext4,7.53
tiago_ext4,7.55
tiago_ext4,7.55
tiago_ext4,7.5
tiago_ext4,7.45
tiago_ext4,7.47
tiago_ext4,7.42
tiago_ext4,7.52
tiago_ext4,7.51
tiago_ext4,7.5
tiago_ext4,11.23
tiago_ext4,7.53
tiago_ext4,7.55
tiago_ext4,7.48
tiago_ext4,7.49
tiago_ext4,7.48
tiago_ext4,7.54
tiago_ext4,7.35
tiago_ext4,7.51
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,7.52
tiago_ext4,11.33
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.5
tiago_ext4,3.75
tiago_ext4,7.55
tiago_ext4,7.54
tiago_ext4,7.47
tiago_ext4,7.53
tiago_ext4,7.51
tiago_ext4,7.53
tiago_ext4,3.69
tiago_ext4,7.42
tiago_ext4,7.51
tiago_ext4,7.55
tiago_ext4,7.48
tiago_ext4,11.18
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.53
tiago_ext4,7.55
tiago_ext4,7.55
tiago_ext4,7.49
