# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 3) ! 126.778 us  |  sealfs_write [sealfs]();
 5) + 34.906 us   |  sealfs_write [sealfs]();
 5) + 77.342 us   |  sealfs_write [sealfs]();
 0) + 37.090 us   |  sealfs_write [sealfs]();
 0) + 81.462 us   |  sealfs_write [sealfs]();
 0) + 38.928 us   |  sealfs_write [sealfs]();
 0) + 69.700 us   |  sealfs_write [sealfs]();
 7) + 38.584 us   |  sealfs_write [sealfs]();
 7) + 89.633 us   |  sealfs_write [sealfs]();
 7) + 38.366 us   |  sealfs_write [sealfs]();
 7) + 75.005 us   |  sealfs_write [sealfs]();
 7) + 39.617 us   |  sealfs_write [sealfs]();
 7) + 75.125 us   |  sealfs_write [sealfs]();
 0) + 34.053 us   |  sealfs_write [sealfs]();
 0) + 79.285 us   |  sealfs_write [sealfs]();
 0) + 38.460 us   |  sealfs_write [sealfs]();
 0) + 73.802 us   |  sealfs_write [sealfs]();
 0) + 34.436 us   |  sealfs_write [sealfs]();
 0) + 74.323 us   |  sealfs_write [sealfs]();
 7) + 54.965 us   |  sealfs_write [sealfs]();
 7) + 81.914 us   |  sealfs_write [sealfs]();
 7) + 40.138 us   |  sealfs_write [sealfs]();
 7) + 76.135 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 4) ros1sea-529272 => openvpn-530298
 ------------------------------------------

 4)   2.541 us    |  sealfs_show_options [sealfs]();
 4)   0.654 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 5) ros1sea-529272 => openvpn-530298
 ------------------------------------------

 5)   1.792 us    |  sealfs_show_options [sealfs]();
 5)   0.510 us    |  sealfs_show_options [sealfs]();
 5)   0.659 us    |  sealfs_show_options [sealfs]();
 5)   0.448 us    |  sealfs_show_options [sealfs]();
 5)   0.819 us    |  sealfs_show_options [sealfs]();
 5)   0.452 us    |  sealfs_show_options [sealfs]();
 5)   0.534 us    |  sealfs_show_options [sealfs]();
 5)   0.388 us    |  sealfs_show_options [sealfs]();
 5)   0.615 us    |  sealfs_show_options [sealfs]();
 5)   0.441 us    |  sealfs_show_options [sealfs]();
 5)   0.644 us    |  sealfs_show_options [sealfs]();
 5)   0.459 us    |  sealfs_show_options [sealfs]();
 5)   0.732 us    |  sealfs_show_options [sealfs]();
 5)   0.503 us    |  sealfs_show_options [sealfs]();
 5)   0.635 us    |  sealfs_show_options [sealfs]();
 5)   0.479 us    |  sealfs_show_options [sealfs]();
 5)   0.567 us    |  sealfs_show_options [sealfs]();
 5)   0.617 us    |  sealfs_show_options [sealfs]();
 5)   0.526 us    |  sealfs_show_options [sealfs]();
 5)   0.465 us    |  sealfs_show_options [sealfs]();
 5)   0.626 us    |  sealfs_show_options [sealfs]();
 5)   0.457 us    |  sealfs_show_options [sealfs]();
 5)   0.518 us    |  sealfs_show_options [sealfs]();
 5)   0.498 us    |  sealfs_show_options [sealfs]();
 5)   0.597 us    |  sealfs_show_options [sealfs]();
 5)   0.452 us    |  sealfs_show_options [sealfs]();
 5)   0.606 us    |  sealfs_show_options [sealfs]();
 5)   0.474 us    |  sealfs_show_options [sealfs]();
 5)   0.525 us    |  sealfs_show_options [sealfs]();
 5)   0.425 us    |  sealfs_show_options [sealfs]();
 5)   0.503 us    |  sealfs_show_options [sealfs]();
 5)   0.469 us    |  sealfs_show_options [sealfs]();
 5)   0.679 us    |  sealfs_show_options [sealfs]();
 5)   0.626 us    |  sealfs_show_options [sealfs]();
 6) + 55.531 us   |  sealfs_write [sealfs]();
 6) + 70.055 us   |  sealfs_write [sealfs]();
 7) + 40.909 us   |  sealfs_write [sealfs]();
 7) + 81.649 us   |  sealfs_write [sealfs]();
 0) + 46.274 us   |  sealfs_write [sealfs]();
 0) + 90.778 us   |  sealfs_write [sealfs]();
 7) + 45.730 us   |  sealfs_write [sealfs]();
 7) + 91.860 us   |  sealfs_write [sealfs]();
 2) ! 168.860 us  |  sealfs_write [sealfs]();
 1) + 64.764 us   |  sealfs_write [sealfs]();
 1) ! 108.497 us  |  sealfs_write [sealfs]();
 0) + 45.721 us   |  sealfs_write [sealfs]();
 0) ! 126.891 us  |  sealfs_write [sealfs]();
 0) + 34.037 us   |  sealfs_write [sealfs]();
 0) + 74.516 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 4) openvpn-530298 => ros1sea-529272
 ------------------------------------------

 4) + 42.429 us   |  sealfs_write [sealfs]();
 4) + 73.096 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 5) openvpn-530298 => ros1sea-529272
 ------------------------------------------

 5) + 33.016 us   |  sealfs_write [sealfs]();
 5) + 78.246 us   |  sealfs_write [sealfs]();
 5) ! 106.503 us  |  sealfs_write [sealfs]();
 5) + 46.170 us   |  sealfs_write [sealfs]();
 5) + 84.959 us   |  sealfs_write [sealfs]();
 0) + 36.590 us   |  sealfs_write [sealfs]();
 0) ! 116.654 us  |  sealfs_write [sealfs]();
 0) + 35.771 us   |  sealfs_write [sealfs]();
 0) + 99.391 us   |  sealfs_write [sealfs]();
 0) + 34.448 us   |  sealfs_write [sealfs]();
 0) + 73.564 us   |  sealfs_write [sealfs]();
 0) + 39.583 us   |  sealfs_write [sealfs]();
 0) + 77.080 us   |  sealfs_write [sealfs]();
 4) + 52.070 us   |  sealfs_write [sealfs]();
 4) + 72.898 us   |  sealfs_write [sealfs]();
 4) + 41.565 us   |  sealfs_write [sealfs]();
 4) + 88.573 us   |  sealfs_write [sealfs]();
 7) + 49.465 us   |  sealfs_write [sealfs]();
 7) + 97.265 us   |  sealfs_write [sealfs]();
 4) + 50.440 us   |  sealfs_write [sealfs]();
 4) ! 271.452 us  |  sealfs_write [sealfs]();
 4) + 44.408 us   |  sealfs_write [sealfs]();
 4) ! 128.239 us  |  sealfs_write [sealfs]();
 6) + 36.697 us   |  sealfs_write [sealfs]();
 6) + 79.317 us   |  sealfs_write [sealfs]();
 6) + 43.521 us   |  sealfs_write [sealfs]();
 6) ! 147.915 us  |  sealfs_write [sealfs]();
 6) ! 106.860 us  |  sealfs_write [sealfs]();
 7) + 48.027 us   |  sealfs_write [sealfs]();
 7) + 84.530 us   |  sealfs_write [sealfs]();
 6) + 34.057 us   |  sealfs_write [sealfs]();
 6) ! 180.768 us  |  sealfs_write [sealfs]();
 7) + 40.801 us   |  sealfs_write [sealfs]();
 7) + 93.593 us   |  sealfs_write [sealfs]();
