# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) + 43.107 us   |  sealfs_write [sealfs]();
 0) + 70.206 us   |  sealfs_write [sealfs]();
 5) + 47.720 us   |  sealfs_write [sealfs]();
 5) + 99.442 us   |  sealfs_write [sealfs]();
 5) ! 109.112 us  |  sealfs_write [sealfs]();
 4) + 38.314 us   |  sealfs_write [sealfs]();
 4) + 84.429 us   |  sealfs_write [sealfs]();
 4) + 45.114 us   |  sealfs_write [sealfs]();
 4) + 81.947 us   |  sealfs_write [sealfs]();
 4) + 42.149 us   |  sealfs_write [sealfs]();
 4) + 74.452 us   |  sealfs_write [sealfs]();
 4) ! 161.191 us  |  sealfs_write [sealfs]();
 4) + 42.351 us   |  sealfs_write [sealfs]();
 4) + 81.380 us   |  sealfs_write [sealfs]();
 4) + 33.755 us   |  sealfs_write [sealfs]();
 4) + 76.858 us   |  sealfs_write [sealfs]();
 4) + 52.019 us   |  sealfs_write [sealfs]();
 4) ! 102.324 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 1)  <...>-552351  => ros1sea-551314
 ------------------------------------------

 1) + 47.452 us   |  sealfs_write [sealfs]();
 1) + 95.465 us   |  sealfs_write [sealfs]();
 1) + 43.586 us   |  sealfs_write [sealfs]();
 1) + 94.129 us   |  sealfs_write [sealfs]();
 1) + 40.788 us   |  sealfs_write [sealfs]();
 1) + 94.955 us   |  sealfs_write [sealfs]();
 1) + 44.652 us   |  sealfs_write [sealfs]();
 1) ! 102.043 us  |  sealfs_write [sealfs]();
 1) ! 114.535 us  |  sealfs_write [sealfs]();
 2) + 36.080 us   |  sealfs_write [sealfs]();
 2) + 78.029 us   |  sealfs_write [sealfs]();
 2) + 33.607 us   |  sealfs_write [sealfs]();
 2) + 74.860 us   |  sealfs_write [sealfs]();
 2) + 35.534 us   |  sealfs_write [sealfs]();
 2) + 74.618 us   |  sealfs_write [sealfs]();
 0) + 33.309 us   |  sealfs_write [sealfs]();
 0) + 76.322 us   |  sealfs_write [sealfs]();
 0) + 35.765 us   |  sealfs_write [sealfs]();
 0) + 73.876 us   |  sealfs_write [sealfs]();
 0) + 35.225 us   |  sealfs_write [sealfs]();
 0) + 80.481 us   |  sealfs_write [sealfs]();
 0) + 48.575 us   |  sealfs_write [sealfs]();
 0) + 88.217 us   |  sealfs_write [sealfs]();
 0) + 42.494 us   |  sealfs_write [sealfs]();
 0) + 73.013 us   |  sealfs_write [sealfs]();
 6) + 40.562 us   |  sealfs_write [sealfs]();
 6) + 84.490 us   |  sealfs_write [sealfs]();
 6) + 35.002 us   |  sealfs_write [sealfs]();
 6) + 73.222 us   |  sealfs_write [sealfs]();
 7) + 35.453 us   |  sealfs_write [sealfs]();
 7) + 72.332 us   |  sealfs_write [sealfs]();
 2) + 34.265 us   |  sealfs_write [sealfs]();
 2) + 78.603 us   |  sealfs_write [sealfs]();
 3) + 37.252 us   |  sealfs_write [sealfs]();
 3) + 72.232 us   |  sealfs_write [sealfs]();
 3) + 35.448 us   |  sealfs_write [sealfs]();
 3) + 73.850 us   |  sealfs_write [sealfs]();
 2) + 38.477 us   |  sealfs_write [sealfs]();
 2) + 75.685 us   |  sealfs_write [sealfs]();
 2) + 40.345 us   |  sealfs_write [sealfs]();
 2) ! 128.359 us  |  sealfs_write [sealfs]();
 5) + 60.292 us   |  sealfs_write [sealfs]();
 5) ! 106.792 us  |  sealfs_write [sealfs]();
 7) + 35.272 us   |  sealfs_write [sealfs]();
 7) + 80.428 us   |  sealfs_write [sealfs]();
 1) ! 770.242 us  |  sealfs_write [sealfs]();
 1) ! 128.038 us  |  sealfs_write [sealfs]();
 7) + 94.280 us   |  sealfs_write [sealfs]();
 7) + 59.292 us   |  sealfs_write [sealfs]();
 7) + 75.575 us   |  sealfs_write [sealfs]();
 4) + 33.876 us   |  sealfs_write [sealfs]();
 4) + 83.961 us   |  sealfs_write [sealfs]();
 6) + 50.543 us   |  sealfs_write [sealfs]();
 6) + 91.262 us   |  sealfs_write [sealfs]();
 7) + 45.774 us   |  sealfs_write [sealfs]();
 7) + 75.737 us   |  sealfs_write [sealfs]();
 6) + 41.093 us   |  sealfs_write [sealfs]();
 6) + 79.485 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 0) ros1sea-551314 => (openvp-552837
 ------------------------------------------

 0)   3.559 us    |  sealfs_show_options [sealfs]();
