TiAGO Latency on Audio Test,time (uS)
sealfs_write,149.286
sealfs_write,149.235
sealfs_write,149.214
sealfs_write,149.159
sealfs_write,149.077
sealfs_write,149.009
sealfs_write,149.002
sealfs_write,148.961
sealfs_write,148.899
sealfs_write,148.844
sealfs_write,148.766
sealfs_write,148.724
sealfs_write,148.717
sealfs_write,148.704
sealfs_write,148.695
sealfs_write,148.577
sealfs_write,148.507
sealfs_write,148.429
sealfs_write,148.352
sealfs_write,148.287
sealfs_write,148.282
sealfs_write,148.148
sealfs_write,147.915
sealfs_write,147.878
sealfs_write,147.828
sealfs_write,147.828
sealfs_write,147.76
sealfs_write,147.723
sealfs_write,147.672
sealfs_write,147.185
sealfs_write,147.178
sealfs_write,146.989
sealfs_write,146.94
sealfs_write,146.889
sealfs_write,146.876
sealfs_write,146.669
sealfs_write,146.59
sealfs_write,146.488
sealfs_write,146.482
sealfs_write,146.476
sealfs_write,146.232
sealfs_write,146.171
sealfs_write,146.117
sealfs_write,146.103
sealfs_write,146.089
sealfs_write,146.012
sealfs_write,145.95
sealfs_write,145.731
sealfs_write,145.527
sealfs_write,145.456
sealfs_write,145.446
sealfs_write,145.332
sealfs_write,145.224
sealfs_write,145.211
sealfs_write,145.202
sealfs_write,145.161
sealfs_write,145.076
sealfs_write,144.993
sealfs_write,144.971
sealfs_write,144.961
sealfs_write,144.891
sealfs_write,144.862
sealfs_write,144.844
sealfs_write,144.821
sealfs_write,144.721
sealfs_write,144.719
sealfs_write,144.655
sealfs_write,144.381
sealfs_write,144.24
sealfs_write,144.179
sealfs_write,144.172
sealfs_write,144.132
sealfs_write,144.006
sealfs_write,143.911
sealfs_write,143.868
sealfs_write,143.859
sealfs_write,143.802
sealfs_write,143.696
sealfs_write,143.457
sealfs_write,143.386
sealfs_write,143.386
sealfs_write,143.359
sealfs_write,143.274
sealfs_write,143.221
sealfs_write,143.179
sealfs_write,143.126
sealfs_write,143.105
sealfs_write,143.076
sealfs_write,143.065
sealfs_write,143.009
sealfs_write,143.008
sealfs_write,142.993
sealfs_write,142.946
sealfs_write,142.697
sealfs_write,142.691
sealfs_write,142.647
sealfs_write,142.632
sealfs_write,142.588
sealfs_write,142.531
sealfs_write,142.515
sealfs_write,142.385
sealfs_write,142.373
sealfs_write,142.305
sealfs_write,142.092
sealfs_write,142.042
sealfs_write,141.906
sealfs_write,141.898
sealfs_write,141.87
sealfs_write,141.812
sealfs_write,141.748
sealfs_write,141.741
sealfs_write,141.689
sealfs_write,141.622
sealfs_write,141.554
sealfs_write,141.544
sealfs_write,141.486
sealfs_write,141.405
sealfs_write,141.306
sealfs_write,141.119
sealfs_write,141.09
sealfs_write,140.981
sealfs_write,140.947
sealfs_write,140.852
sealfs_write,140.799
sealfs_write,140.796
sealfs_write,140.748
sealfs_write,140.73
sealfs_write,140.724
sealfs_write,140.638
sealfs_write,140.534
sealfs_write,140.428
sealfs_write,140.425
sealfs_write,140.368
sealfs_write,140.332
sealfs_write,140.26
sealfs_write,140.192
sealfs_write,140.167
sealfs_write,140.144
sealfs_write,140.045
sealfs_write,140.037
sealfs_write,140.006
sealfs_write,139.986
sealfs_write,139.796
sealfs_write,139.688
sealfs_write,139.676
sealfs_write,139.571
sealfs_write,139.552
sealfs_write,139.529
sealfs_write,139.488
sealfs_write,139.386
sealfs_write,139.366
sealfs_write,139.316
ext4_write,139.212
sealfs_write,139.209
sealfs_write,139.191
sealfs_write,139.162
sealfs_write,139.157
sealfs_write,139.109
sealfs_write,139.046
sealfs_write,138.971
sealfs_write,138.897
sealfs_write,138.855
sealfs_write,138.7
sealfs_write,138.689
sealfs_write,138.675
sealfs_write,138.674
sealfs_write,138.653
sealfs_write,138.637
sealfs_write,138.602
sealfs_write,138.515
sealfs_write,138.507
sealfs_write,138.493
sealfs_write,138.475
sealfs_write,138.473
sealfs_write,138.47
sealfs_write,138.426
sealfs_write,138.374
sealfs_write,138.373
sealfs_write,138.37
sealfs_write,138.338
sealfs_write,138.254
sealfs_write,138.247
sealfs_write,138.226
sealfs_write,138.177
sealfs_write,138.173
sealfs_write,138.103
sealfs_write,137.993
sealfs_write,137.952
sealfs_write,137.946
sealfs_write,137.941
sealfs_write,137.912
sealfs_write,137.881
sealfs_write,137.54
sealfs_write,137.505
sealfs_write,137.441
sealfs_write,137.44
sealfs_write,137.364
sealfs_write,137.325
sealfs_write,137.304
sealfs_write,137.276
sealfs_write,137.251
sealfs_write,137.217
sealfs_write,137.137
sealfs_write,137.109
sealfs_write,137.046
sealfs_write,137.026
sealfs_write,136.989
sealfs_write,136.962
sealfs_write,136.92
sealfs_write,136.91
sealfs_write,136.873
sealfs_write,136.789
sealfs_write,136.729
sealfs_write,136.715
sealfs_write,136.663
sealfs_write,136.409
sealfs_write,136.382
sealfs_write,136.295
sealfs_write,136.266
sealfs_write,136.201
sealfs_write,136.191
sealfs_write,136.174
sealfs_write,136.074
sealfs_write,136.002
sealfs_write,135.985
sealfs_write,135.969
sealfs_write,135.961
sealfs_write,135.894
sealfs_write,135.88
sealfs_write,135.844
sealfs_write,135.842
sealfs_write,135.807
sealfs_write,135.762
sealfs_write,135.745
sealfs_write,135.706
sealfs_write,135.697
sealfs_write,135.612
sealfs_write,135.608
sealfs_write,135.585
sealfs_write,135.533
sealfs_write,135.533
sealfs_write,135.521
sealfs_write,135.519
sealfs_write,135.454
sealfs_write,135.16
sealfs_write,135.15
sealfs_write,135.145
sealfs_write,135.019
sealfs_write,134.988
sealfs_write,134.977
sealfs_write,134.975
sealfs_write,134.898
ext4_write,134.858
sealfs_write,134.857
sealfs_write,134.832
sealfs_write,134.826
sealfs_write,134.794
sealfs_write,134.778
sealfs_write,134.7
sealfs_write,134.68
sealfs_write,134.669
sealfs_write,134.615
sealfs_write,134.56
sealfs_write,134.544
sealfs_write,134.534
sealfs_write,134.469
sealfs_write,134.465
sealfs_write,134.367
sealfs_write,134.357
sealfs_write,134.33
sealfs_write,134.298
sealfs_write,134.295
sealfs_write,134.295
sealfs_write,134.294
sealfs_write,134.204
sealfs_write,134.151
sealfs_write,134.109
sealfs_write,134.089
sealfs_write,134.043
sealfs_write,134.038
sealfs_write,133.996
sealfs_write,133.971
sealfs_write,133.965
sealfs_write,133.946
sealfs_write,133.942
sealfs_write,133.911
sealfs_write,133.886
sealfs_write,133.879
sealfs_write,133.862
sealfs_write,133.855
sealfs_write,133.824
sealfs_write,133.783
sealfs_write,133.71
sealfs_write,133.702
sealfs_write,133.648
sealfs_write,133.617
sealfs_write,133.615
sealfs_write,133.598
sealfs_write,133.582
sealfs_write,133.541
sealfs_write,133.487
sealfs_write,133.465
sealfs_write,133.423
sealfs_write,133.341
sealfs_write,133.308
sealfs_write,133.265
sealfs_write,133.264
sealfs_write,133.252
sealfs_write,133.184
sealfs_write,133.178
sealfs_write,133.065
sealfs_write,133.063
sealfs_write,133.06
sealfs_write,133.038
sealfs_write,132.974
sealfs_write,132.864
sealfs_write,132.858
sealfs_write,132.725
sealfs_write,132.724
sealfs_write,132.713
sealfs_write,132.694
sealfs_write,132.692
sealfs_write,132.678
sealfs_write,132.667
sealfs_write,132.632
sealfs_write,132.618
sealfs_write,132.591
sealfs_write,132.532
sealfs_write,132.512
sealfs_write,132.452
sealfs_write,132.448
sealfs_write,132.438
sealfs_write,132.367
ext4_write,132.309
sealfs_write,132.308
sealfs_write,132.296
sealfs_write,132.291
sealfs_write,132.274
sealfs_write,132.26
sealfs_write,132.25
sealfs_write,132.236
sealfs_write,132.136
sealfs_write,132.105
sealfs_write,132.095
sealfs_write,132.053
sealfs_write,132.04
sealfs_write,132.029
sealfs_write,131.977
sealfs_write,131.949
sealfs_write,131.929
sealfs_write,131.923
sealfs_write,131.835
sealfs_write,131.786
sealfs_write,131.779
sealfs_write,131.757
sealfs_write,131.75
sealfs_write,131.68
sealfs_write,131.667
sealfs_write,131.631
sealfs_write,131.611
sealfs_write,131.587
sealfs_write,131.577
sealfs_write,131.554
sealfs_write,131.515
sealfs_write,131.496
sealfs_write,131.477
sealfs_write,131.408
sealfs_write,131.377
sealfs_write,131.37
sealfs_write,131.345
sealfs_write,131.334
sealfs_write,131.33
sealfs_write,131.317
sealfs_write,131.314
sealfs_write,131.264
sealfs_write,131.248
sealfs_write,131.196
sealfs_write,131.185
sealfs_write,131.179
sealfs_write,131.159
sealfs_write,131.104
sealfs_write,131.059
sealfs_write,130.988
sealfs_write,130.957
sealfs_write,130.908
sealfs_write,130.882
sealfs_write,130.869
sealfs_write,130.807
sealfs_write,130.78
sealfs_write,130.773
sealfs_write,130.7
sealfs_write,130.691
sealfs_write,130.663
sealfs_write,130.652
sealfs_write,130.639
sealfs_write,130.606
sealfs_write,130.593
sealfs_write,130.585
sealfs_write,130.579
sealfs_write,130.577
sealfs_write,130.534
sealfs_write,130.428
sealfs_write,130.424
sealfs_write,130.397
sealfs_write,130.378
sealfs_write,130.367
sealfs_write,130.361
sealfs_write,130.356
sealfs_write,130.3
sealfs_write,130.294
sealfs_write,130.25
sealfs_write,130.227
sealfs_write,130.227
sealfs_write,130.177
sealfs_write,130.164
sealfs_write,130.163
sealfs_write,130.135
sealfs_write,130.119
sealfs_write,130.05
sealfs_write,130.033
sealfs_write,130.023
sealfs_write,130.017
sealfs_write,129.994
sealfs_write,129.935
sealfs_write,129.91
sealfs_write,129.903
sealfs_write,129.882
sealfs_write,129.862
sealfs_write,129.86
sealfs_write,129.843
sealfs_write,129.831
sealfs_write,129.816
sealfs_write,129.812
sealfs_write,129.805
sealfs_write,129.801
sealfs_write,129.789
sealfs_write,129.764
sealfs_write,129.739
sealfs_write,129.719
sealfs_write,129.704
sealfs_write,129.673
sealfs_write,129.668
sealfs_write,129.663
sealfs_write,129.653
sealfs_write,129.642
sealfs_write,129.63
sealfs_write,129.623
sealfs_write,129.609
sealfs_write,129.591
sealfs_write,129.572
sealfs_write,129.557
sealfs_write,129.553
sealfs_write,129.55
sealfs_write,129.542
sealfs_write,129.534
sealfs_write,129.528
sealfs_write,129.522
sealfs_write,129.477
sealfs_write,129.426
sealfs_write,129.412
sealfs_write,129.37
sealfs_write,129.364
sealfs_write,129.341
sealfs_write,129.336
sealfs_write,129.336
sealfs_write,129.334
sealfs_write,129.322
sealfs_write,129.292
sealfs_write,129.233
sealfs_write,129.207
sealfs_write,129.192
sealfs_write,129.157
sealfs_write,129.125
sealfs_write,129.109
sealfs_write,129.102
sealfs_write,129.099
sealfs_write,129.078
sealfs_write,129.071
sealfs_write,129.051
ext4_write,129.026
sealfs_write,128.956
sealfs_write,128.937
sealfs_write,128.906
sealfs_write,128.868
sealfs_write,128.824
sealfs_write,128.82
sealfs_write,128.81
sealfs_write,128.778
sealfs_write,128.717
sealfs_write,128.717
sealfs_write,128.707
sealfs_write,128.674
sealfs_write,128.67
sealfs_write,128.647
