Latency on Video Test,time (μs)
summit_sealfs_write,16536.27
summit_sealfs_write,16533.51
summit_sealfs_write,16532.86
summit_sealfs_write,16528.78
summit_sealfs_write,16525.61
summit_sealfs_write,16525.08
summit_sealfs_write,16524.87
summit_sealfs_write,16522.01
summit_sealfs_write,16519.59
tiago_sealfs_write,16518
summit_sealfs_write,16513.6
summit_sealfs_write,16512.69
summit_sealfs_write,16512.13
summit_sealfs_write,16500.77
summit_sealfs_write,16488.45
summit_sealfs_write,16481.87
summit_sealfs_write,16473.56
summit_sealfs_write,16472
summit_sealfs_write,16463.11
summit_sealfs_write,16461.17
summit_sealfs_write,16459.13
summit_sealfs_write,16453.41
summit_sealfs_write,16452.54
summit_sealfs_write,16451.49
summit_sealfs_write,16443.97
summit_sealfs_write,16443.09
summit_sealfs_write,16439.27
summit_sealfs_write,16437.69
summit_sealfs_write,16434.34
summit_sealfs_write,16433.56
summit_sealfs_write,16432.74
summit_sealfs_write,16413.61
summit_sealfs_write,16409.98
summit_sealfs_write,16407.76
summit_sealfs_write,16405.02
summit_sealfs_write,16400.72
tiago_ext4_write,16396.62
summit_sealfs_write,16392.34
summit_sealfs_write,16376.67
summit_sealfs_write,16376.01
summit_sealfs_write,16375.51
summit_sealfs_write,16370.55
summit_sealfs_write,16367.17
summit_sealfs_write,16365.68
tiago_sealfs_write,16364.57
summit_sealfs_write,16362.83
summit_sealfs_write,16358.89
summit_sealfs_write,16358.04
summit_sealfs_write,16353.73
summit_sealfs_write,16352.72
summit_sealfs_write,16348.87
tiago_ext4_write,16343.54
summit_sealfs_write,16343.29
summit_sealfs_write,16343.11
summit_sealfs_write,16342.89
summit_sealfs_write,16342.81
summit_sealfs_write,16340.46
summit_sealfs_write,16337.96
summit_sealfs_write,16336.83
tiago_sealfs_write,16335.57
summit_sealfs_write,16334.24
summit_sealfs_write,16332.6
summit_sealfs_write,16329.42
summit_sealfs_write,16326.35
summit_sealfs_write,16326.02
summit_sealfs_write,16325.67
summit_sealfs_write,16324.78
summit_sealfs_write,16323.75
summit_sealfs_write,16322.49
summit_sealfs_write,16315.23
summit_sealfs_write,16314.6
summit_sealfs_write,16313.22
summit_sealfs_write,16308.77
summit_sealfs_write,16308.06
summit_sealfs_write,16307.52
summit_sealfs_write,16306.74
summit_sealfs_write,16305.11
summit_sealfs_write,16305.06
summit_sealfs_write,16303.53
summit_sealfs_write,16303.15
summit_sealfs_write,16300.99
summit_sealfs_write,16299.12
summit_sealfs_write,16298.67
summit_sealfs_write,16291.74
summit_sealfs_write,16291.01
summit_sealfs_write,16290.33
summit_sealfs_write,16289.57
summit_sealfs_write,16289.48
summit_sealfs_write,16286.72
summit_sealfs_write,16282.74
summit_sealfs_write,16282
summit_sealfs_write,16281.19
summit_sealfs_write,16280.74
summit_sealfs_write,16279.23
summit_sealfs_write,16278.41
summit_sealfs_write,16278.27
summit_sealfs_write,16277.47
summit_sealfs_write,16277.17
summit_sealfs_write,16274.9
summit_sealfs_write,16273.06
summit_sealfs_write,16262.01
summit_sealfs_write,16260.51
summit_sealfs_write,16257.84
summit_sealfs_write,16257.48
summit_sealfs_write,16254.99
summit_sealfs_write,16251.14
summit_sealfs_write,16250.48
tiago_ext4_write,16245.93
summit_sealfs_write,16243.63
summit_sealfs_write,16242.22
tiago_sealfs_write,16241.59
summit_sealfs_write,16239.42
summit_sealfs_write,16239.23
summit_sealfs_write,16238.34
summit_sealfs_write,16237.65
summit_sealfs_write,16232.86
summit_sealfs_write,16232.57
summit_sealfs_write,16231.03
summit_sealfs_write,16230.75
summit_sealfs_write,16229.06
summit_sealfs_write,16226.31
summit_sealfs_write,16220.38
summit_sealfs_write,16217.2
summit_sealfs_write,16216.93
summit_sealfs_write,16214.49
summit_sealfs_write,16211.02
summit_sealfs_write,16209.92
summit_sealfs_write,16209.85
summit_sealfs_write,16208.33
summit_sealfs_write,16206.74
summit_sealfs_write,16205.8
summit_sealfs_write,16203.1
summit_sealfs_write,16202.03
summit_sealfs_write,16199.9
summit_sealfs_write,16199.29
summit_sealfs_write,16197.26
summit_sealfs_write,16196.56
summit_sealfs_write,16194.88
summit_sealfs_write,16194.59
summit_sealfs_write,16194.45
summit_sealfs_write,16193.44
summit_sealfs_write,16192.48
summit_sealfs_write,16192.17
summit_sealfs_write,16190.18
summit_sealfs_write,16188.82
summit_sealfs_write,16188.02
summit_sealfs_write,16184.56
summit_sealfs_write,16183.93
summit_sealfs_write,16182.14
summit_sealfs_write,16181.37
summit_sealfs_write,16179.04
summit_sealfs_write,16178.91
summit_sealfs_write,16178.59
tiago_ext4_write,16177.49
summit_sealfs_write,16176.42
summit_sealfs_write,16176.36
summit_sealfs_write,16172.33
summit_sealfs_write,16171.94
summit_sealfs_write,16169.17
summit_sealfs_write,16169.15
summit_sealfs_write,16167.23
summit_sealfs_write,16166.28
summit_sealfs_write,16164.12
summit_sealfs_write,16160.83
summit_sealfs_write,16156.35
summit_sealfs_write,16153.16
summit_sealfs_write,16152.82
summit_sealfs_write,16152.68
summit_sealfs_write,16152.34
summit_sealfs_write,16151.87
summit_sealfs_write,16148.69
summit_sealfs_write,16146.91
summit_sealfs_write,16142.11
summit_sealfs_write,16141.48
tiago_sealfs_write,16136.32
summit_sealfs_write,16136.29
summit_sealfs_write,16135.56
tiago_sealfs_write,16134.33
summit_sealfs_write,16132.07
summit_sealfs_write,16129.01
summit_sealfs_write,16128.53
summit_sealfs_write,16127.01
summit_sealfs_write,16126.69
summit_sealfs_write,16121.03
summit_sealfs_write,16114.61
