Latency on Navigation Test,time (μs)
summit_sealfs_write,89.496
summit_sealfs_write,89.428
summit_sealfs_write,89.405
summit_sealfs_write,89.403
summit_sealfs_write,89.394
summit_sealfs_write,89.38
summit_sealfs_write,89.278
summit_sealfs_write,89.256
summit_sealfs_write,89.216
summit_sealfs_write,89.199
summit_sealfs_write,89.165
summit_sealfs_write,89.161
summit_sealfs_write,89.147
summit_sealfs_write,89.144
summit_sealfs_write,89.132
summit_sealfs_write,89.131
summit_sealfs_write,89.054
summit_sealfs_write,89.041
summit_sealfs_write,89.004
summit_sealfs_write,88.959
tiago_sealfs_write,88.952
summit_sealfs_write,88.945
summit_sealfs_write,88.783
summit_sealfs_write,88.777
tiago_sealfs_write,88.763
summit_sealfs_write,88.76
summit_sealfs_write,88.735
summit_sealfs_write,88.727
summit_sealfs_write,88.723
summit_sealfs_write,88.719
summit_sealfs_write,88.714
tiago_sealfs_write,88.676
tiago_sealfs_write,88.663
summit_sealfs_write,88.638
summit_sealfs_write,88.44
tiago_sealfs_write,88.425
summit_sealfs_write,88.419
summit_sealfs_write,88.356
summit_sealfs_write,88.34
summit_sealfs_write,88.324
summit_sealfs_write,88.291
summit_sealfs_write,88.268
summit_sealfs_write,88.23
tiago_sealfs_write,88.227
summit_sealfs_write,88.217
summit_sealfs_write,88.108
summit_sealfs_write,88.048
summit_sealfs_write,87.969
tiago_sealfs_write,87.933
summit_sealfs_write,87.891
summit_sealfs_write,87.868
summit_sealfs_write,87.781
summit_sealfs_write,87.76
summit_sealfs_write,87.748
summit_sealfs_write,87.729
summit_sealfs_write,87.681
summit_sealfs_write,87.679
summit_sealfs_write,87.622
summit_sealfs_write,87.601
summit_sealfs_write,87.597
summit_sealfs_write,87.547
summit_sealfs_write,87.538
summit_sealfs_write,87.471
tiago_sealfs_write,87.437
summit_sealfs_write,87.389
summit_sealfs_write,87.362
summit_sealfs_write,87.352
summit_sealfs_write,87.345
summit_sealfs_write,87.311
summit_sealfs_write,87.277
summit_sealfs_write,87.24
summit_sealfs_write,87.206
summit_sealfs_write,87.199
summit_sealfs_write,87.166
summit_sealfs_write,87.155
tiago_sealfs_write,87.126
summit_sealfs_write,87.073
summit_sealfs_write,87.044
tiago_sealfs_write,87.037
summit_sealfs_write,87
summit_sealfs_write,86.973
summit_sealfs_write,86.904
summit_sealfs_write,86.879
summit_sealfs_write,86.836
tiago_sealfs_write,86.835
tiago_ext4_write,86.771
summit_sealfs_write,86.714
summit_sealfs_write,86.673
summit_sealfs_write,86.642
summit_sealfs_write,86.641
summit_sealfs_write,86.605
summit_sealfs_write,86.553
summit_sealfs_write,86.451
tiago_sealfs_write,86.414
summit_sealfs_write,86.391
summit_sealfs_write,86.291
tiago_sealfs_write,86.278
summit_sealfs_write,86.277
summit_sealfs_write,86.17
summit_sealfs_write,86.128
summit_sealfs_write,86.059
summit_sealfs_write,85.999
summit_sealfs_write,85.972
tiago_sealfs_write,85.971
tiago_sealfs_write,85.956
summit_sealfs_write,85.941
summit_sealfs_write,85.932
summit_sealfs_write,85.919
summit_sealfs_write,85.866
summit_sealfs_write,85.779
summit_sealfs_write,85.775
tiago_sealfs_write,85.77
summit_sealfs_write,85.618
summit_sealfs_write,85.57
summit_sealfs_write,85.512
summit_sealfs_write,85.399
summit_sealfs_write,85.349
tiago_sealfs_write,85.326
summit_sealfs_write,85.261
summit_sealfs_write,85.112
summit_sealfs_write,85.094
summit_sealfs_write,85.092
tiago_sealfs_write,85.055
tiago_sealfs_write,84.971
tiago_sealfs_write,84.95
summit_sealfs_write,84.898
tiago_sealfs_write,84.889
summit_sealfs_write,84.834
summit_sealfs_write,84.683
summit_sealfs_write,84.657
summit_sealfs_write,84.568
summit_sealfs_write,84.565
summit_sealfs_write,84.546
summit_sealfs_write,84.455
summit_sealfs_write,84.454
summit_sealfs_write,84.358
tiago_sealfs_write,84.269
summit_sealfs_write,84.097
tiago_sealfs_write,84.05
summit_sealfs_write,84.004
summit_sealfs_write,83.97
tiago_sealfs_write,83.968
tiago_sealfs_write,83.962
summit_sealfs_write,83.902
summit_sealfs_write,83.742
tiago_sealfs_write,83.623
tiago_sealfs_write,83.614
tiago_sealfs_write,83.416
tiago_sealfs_write,83.389
tiago_sealfs_write,83.253
summit_sealfs_write,83.235
tiago_sealfs_write,83.23
tiago_sealfs_write,83.109
tiago_sealfs_write,83.096
summit_sealfs_write,83.088
tiago_sealfs_write,83.012
tiago_sealfs_write,82.949
summit_sealfs_write,82.89
summit_sealfs_write,82.848
tiago_sealfs_write,82.84
summit_sealfs_write,82.783
tiago_sealfs_write,82.778
summit_sealfs_write,82.766
summit_sealfs_write,82.68
tiago_sealfs_write,82.575
summit_sealfs_write,82.555
tiago_sealfs_write,82.312
summit_sealfs_write,82.263
summit_sealfs_write,82.247
tiago_sealfs_write,82.245
tiago_sealfs_write,82.244
tiago_sealfs_write,82.223
tiago_sealfs_write,82.187
summit_sealfs_write,82.135
tiago_sealfs_write,82.03
summit_sealfs_write,82.014
tiago_sealfs_write,81.991
tiago_sealfs_write,81.957
tiago_sealfs_write,81.941
tiago_sealfs_write,81.931
tiago_sealfs_write,81.896
tiago_sealfs_write,81.804
tiago_sealfs_write,81.777
summit_sealfs_write,81.587
tiago_sealfs_write,81.525
tiago_sealfs_write,81.426
tiago_sealfs_write,81.381
