# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 12) + 71.811 us   |  sealfs_write [sealfs]();
 12) + 68.575 us   |  sealfs_write [sealfs]();
 12) + 71.121 us   |  sealfs_write [sealfs]();
 12) + 71.169 us   |  sealfs_write [sealfs]();
 12) + 71.373 us   |  sealfs_write [sealfs]();
 12) + 74.613 us   |  sealfs_write [sealfs]();
 12) + 71.562 us   |  sealfs_write [sealfs]();
 12) + 62.800 us   |  sealfs_write [sealfs]();
 12) + 68.896 us   |  sealfs_write [sealfs]();
 12) + 63.172 us   |  sealfs_write [sealfs]();
 12) + 69.217 us   |  sealfs_write [sealfs]();
 12) + 64.891 us   |  sealfs_write [sealfs]();
 12) + 73.005 us   |  sealfs_write [sealfs]();
 12) + 65.215 us   |  sealfs_write [sealfs]();
 12) + 75.016 us   |  sealfs_write [sealfs]();
 12) + 65.670 us   |  sealfs_write [sealfs]();
 12) + 73.384 us   |  sealfs_write [sealfs]();
 12) + 67.736 us   |  sealfs_write [sealfs]();
 12) + 75.423 us   |  sealfs_write [sealfs]();
 12) + 70.474 us   |  sealfs_write [sealfs]();
 12) + 79.717 us   |  sealfs_write [sealfs]();
 12) + 68.758 us   |  sealfs_write [sealfs]();
 12) + 73.786 us   |  sealfs_write [sealfs]();
 12) + 76.505 us   |  sealfs_write [sealfs]();
 12) + 73.066 us   |  sealfs_write [sealfs]();
 12) + 66.521 us   |  sealfs_write [sealfs]();
 12) + 69.083 us   |  sealfs_write [sealfs]();
 12) + 65.358 us   |  sealfs_write [sealfs]();
 12) + 69.360 us   |  sealfs_write [sealfs]();
 12) + 67.754 us   |  sealfs_write [sealfs]();
 12) + 67.618 us   |  sealfs_write [sealfs]();
 12) + 71.451 us   |  sealfs_write [sealfs]();
 12) + 68.232 us   |  sealfs_write [sealfs]();
 12) + 69.378 us   |  sealfs_write [sealfs]();
 12) + 69.164 us   |  sealfs_write [sealfs]();
 12) + 71.435 us   |  sealfs_write [sealfs]();
 12) + 72.434 us   |  sealfs_write [sealfs]();
 12) + 59.450 us   |  sealfs_write [sealfs]();
 12) + 72.077 us   |  sealfs_write [sealfs]();
 12) + 65.051 us   |  sealfs_write [sealfs]();
