# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 7) * 11796.25 us |  sealfs_write [sealfs]();
 7) * 10301.45 us |  sealfs_write [sealfs]();
 7) * 10127.27 us |  sealfs_write [sealfs]();
 7) * 10487.74 us |  sealfs_write [sealfs]();
 7) * 10728.83 us |  sealfs_write [sealfs]();
 3) * 10346.15 us |  sealfs_write [sealfs]();
 3) * 10115.79 us |  sealfs_write [sealfs]();
 3) * 10338.29 us |  sealfs_write [sealfs]();
 3) * 10331.64 us |  sealfs_write [sealfs]();
 7) # 9796.605 us |  sealfs_write [sealfs]();
 7) * 10316.86 us |  sealfs_write [sealfs]();
 7) * 10172.55 us |  sealfs_write [sealfs]();
 7) * 10382.19 us |  sealfs_write [sealfs]();
 7) * 10138.70 us |  sealfs_write [sealfs]();
 7) * 10206.83 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1) (openvp-364518 =>  <...>-364970 
 ------------------------------------------

 1)   2.168 us    |  sealfs_show_options [sealfs]();
 1)   1.048 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 5) ros1sea-362505 =>  <...>-364970 
 ------------------------------------------

 5)   1.102 us    |  sealfs_show_options [sealfs]();
 5)   0.568 us    |  sealfs_show_options [sealfs]();
 5)   0.620 us    |  sealfs_show_options [sealfs]();
 5)   0.438 us    |  sealfs_show_options [sealfs]();
 5)   0.480 us    |  sealfs_show_options [sealfs]();
 5)   0.413 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 6) (openvp-364518 =>  <...>-364970 
 ------------------------------------------

 6)   1.425 us    |  sealfs_show_options [sealfs]();
 6)   0.709 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 2) openvpn-363524 =>  <...>-364970 
 ------------------------------------------

 2)   0.840 us    |  sealfs_show_options [sealfs]();
 2)   0.645 us    |  sealfs_show_options [sealfs]();
 2)   0.887 us    |  sealfs_show_options [sealfs]();
 2)   0.497 us    |  sealfs_show_options [sealfs]();
 2)   0.813 us    |  sealfs_show_options [sealfs]();
 2)   0.828 us    |  sealfs_show_options [sealfs]();
 2)   0.871 us    |  sealfs_show_options [sealfs]();
 2)   0.789 us    |  sealfs_show_options [sealfs]();
 2)   0.840 us    |  sealfs_show_options [sealfs]();
 2)   0.725 us    |  sealfs_show_options [sealfs]();
 2)   1.190 us    |  sealfs_show_options [sealfs]();
 2)   0.813 us    |  sealfs_show_options [sealfs]();
 2)   0.930 us    |  sealfs_show_options [sealfs]();
 2)   0.869 us    |  sealfs_show_options [sealfs]();
 2)   0.971 us    |  sealfs_show_options [sealfs]();
 2)   0.761 us    |  sealfs_show_options [sealfs]();
 2)   0.849 us    |  sealfs_show_options [sealfs]();
 2)   0.627 us    |  sealfs_show_options [sealfs]();
 2)   0.803 us    |  sealfs_show_options [sealfs]();
 2)   0.792 us    |  sealfs_show_options [sealfs]();
 2)   1.289 us    |  sealfs_show_options [sealfs]();
 2)   1.039 us    |  sealfs_show_options [sealfs]();
 2)   1.048 us    |  sealfs_show_options [sealfs]();
 2)   1.039 us    |  sealfs_show_options [sealfs]();
 2)   1.154 us    |  sealfs_show_options [sealfs]();
 2)   0.610 us    |  sealfs_show_options [sealfs]();
 7) * 10020.56 us |  sealfs_write [sealfs]();
 7) # 9985.218 us |  sealfs_write [sealfs]();
 7) * 11061.49 us |  sealfs_write [sealfs]();
 7) * 10431.03 us |  sealfs_write [sealfs]();
 ------------------------------------------
 5)  <...>-364970  =>  <...>-365041 
 ------------------------------------------

 5)   2.931 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 4)  collect-1281  =>   df-365043   
 ------------------------------------------

 4)   2.096 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 1)  <...>-364970  =>   df-365045   
 ------------------------------------------

 1)   1.489 us    |  sealfs_show_options [sealfs]();
 7) * 10354.86 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1)   df-365045    => ros1sea-362505
 ------------------------------------------

 1) * 12117.58 us |  sealfs_write [sealfs]();
 ------------------------------------------
 5)  <...>-365041  => ros1sea-362505
 ------------------------------------------

 5) * 11762.33 us |  sealfs_write [sealfs]();
 5) * 10537.13 us |  sealfs_write [sealfs]();
 5) * 11234.93 us |  sealfs_write [sealfs]();
 5) * 11143.49 us |  sealfs_write [sealfs]();
 5) * 12252.74 us |  sealfs_write [sealfs]();
 5) * 10876.50 us |  sealfs_write [sealfs]();
 5) * 11266.60 us |  sealfs_write [sealfs]();
 5) * 11038.95 us |  sealfs_write [sealfs]();
 ------------------------------------------
 7) ros1sea-362505 =>  collect-1285 
 ------------------------------------------

 7)   2.100 us    |  sealfs_show_options [sealfs]();
 7)   1.015 us    |  sealfs_statfs [sealfs]();
 5) * 11429.02 us |  sealfs_write [sealfs]();
 5) * 11380.87 us |  sealfs_write [sealfs]();
 5) * 13597.86 us |  sealfs_write [sealfs]();
 5) * 11060.73 us |  sealfs_write [sealfs]();
 5) * 11319.73 us |  sealfs_write [sealfs]();
 5) * 11716.02 us |  sealfs_write [sealfs]();
 5) * 11107.25 us |  sealfs_write [sealfs]();
 5) * 11185.58 us |  sealfs_write [sealfs]();
 5) * 10937.03 us |  sealfs_write [sealfs]();
 ------------------------------------------
 2)  <...>-364970  => (openvp-365489
 ------------------------------------------

 2)   2.268 us    |  sealfs_show_options [sealfs]();
 2)   0.609 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 3) ros1sea-362505 => (openvp-365489
 ------------------------------------------

 3)   1.630 us    |  sealfs_show_options [sealfs]();
 3)   0.452 us    |  sealfs_show_options [sealfs]();
 3)   0.632 us    |  sealfs_show_options [sealfs]();
 3)   0.417 us    |  sealfs_show_options [sealfs]();
 3)   0.561 us    |  sealfs_show_options [sealfs]();
 3)   0.569 us    |  sealfs_show_options [sealfs]();
 3)   0.707 us    |  sealfs_show_options [sealfs]();
 3)   0.610 us    |  sealfs_show_options [sealfs]();
 3)   0.508 us    |  sealfs_show_options [sealfs]();
 3)   0.413 us    |  sealfs_show_options [sealfs]();
 3)   0.525 us    |  sealfs_show_options [sealfs]();
 3)   0.437 us    |  sealfs_show_options [sealfs]();
 3)   0.595 us    |  sealfs_show_options [sealfs]();
 3)   0.463 us    |  sealfs_show_options [sealfs]();
 3)   0.584 us    |  sealfs_show_options [sealfs]();
 3)   0.535 us    |  sealfs_show_options [sealfs]();
 3)   0.715 us    |  sealfs_show_options [sealfs]();
 3)   0.441 us    |  sealfs_show_options [sealfs]();
 3)   0.600 us    |  sealfs_show_options [sealfs]();
 3)   0.393 us    |  sealfs_show_options [sealfs]();
 3)   0.551 us    |  sealfs_show_options [sealfs]();
 3)   0.435 us    |  sealfs_show_options [sealfs]();
 3)   0.589 us    |  sealfs_show_options [sealfs]();
 3)   0.452 us    |  sealfs_show_options [sealfs]();
 3)   0.556 us    |  sealfs_show_options [sealfs]();
 3)   0.683 us    |  sealfs_show_options [sealfs]();
 3)   0.604 us    |  sealfs_show_options [sealfs]();
 3)   0.448 us    |  sealfs_show_options [sealfs]();
 3)   0.681 us    |  sealfs_show_options [sealfs]();
 3)   0.397 us    |  sealfs_show_options [sealfs]();
 3)   0.560 us    |  sealfs_show_options [sealfs]();
 3)   0.425 us    |  sealfs_show_options [sealfs]();
 3)   0.563 us    |  sealfs_show_options [sealfs]();
 3)   0.459 us    |  sealfs_show_options [sealfs]();
 5) * 14612.71 us |  sealfs_write [sealfs]();
 5) * 10672.99 us |  sealfs_write [sealfs]();
 5) * 11080.52 us |  sealfs_write [sealfs]();
 5) * 11460.51 us |  sealfs_write [sealfs]();
 5) * 10848.20 us |  sealfs_write [sealfs]();
 5) * 11582.35 us |  sealfs_write [sealfs]();
 5) * 10834.34 us |  sealfs_write [sealfs]();
 5) * 11048.39 us |  sealfs_write [sealfs]();
 5) * 11021.30 us |  sealfs_write [sealfs]();
 5) * 11174.31 us |  sealfs_write [sealfs]();
 5) * 10882.65 us |  sealfs_write [sealfs]();
 5) * 11386.37 us |  sealfs_write [sealfs]();
 5) * 11387.23 us |  sealfs_write [sealfs]();
 5) * 11418.70 us |  sealfs_write [sealfs]();
 5) * 11245.96 us |  sealfs_write [sealfs]();
 5) * 11435.18 us |  sealfs_write [sealfs]();
 5) * 11438.83 us |  sealfs_write [sealfs]();
 5) * 10840.74 us |  sealfs_write [sealfs]();
 ------------------------------------------
 0)  collect-1283  => ros1sea-362505
 ------------------------------------------

 0) * 11074.55 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1) ros1sea-362505 =>  gsd-hou-2099 
 ------------------------------------------

 1)   1.451 us    |  sealfs_show_options [sealfs]();
 1)   1.253 us    |  sealfs_show_options [sealfs]();
 1)   0.546 us    |  sealfs_show_options [sealfs]();
 1)   0.564 us    |  sealfs_show_options [sealfs]();
 1)   0.582 us    |  sealfs_show_options [sealfs]();
 0) * 12700.48 us |  sealfs_write [sealfs]();
 ------------------------------------------
