TiAGo Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
ext4_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
sealfs_video,10598.4
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
ext4_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
sealfs_video,10608.64
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
ext4_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
sealfs_video,10618.88
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
ext4_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
sealfs_video,10629.12
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
ext4_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
sealfs_video,10639.36
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
ext4_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
sealfs_video,10649.6
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
ext4_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
sealfs_video,10659.84
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
ext4_video,10670.08
