TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,139.13
sealfs,139.13
sealfs,139.13
ext4,139.12
ext4,139.12
sealfs,139.12
sealfs,139.12
sealfs,139.12
ext4,139.11
ext4,139.11
ext4,139.11
sealfs,139.11
sealfs,139.11
sealfs,139.11
sealfs,139.11
sealfs,139.11
ext4,139.1
ext4,139.1
ext4,139.1
ext4,139.1
sealfs,139.1
sealfs,139.1
ext4,139.09
ext4,139.09
ext4,139.09
ext4,139.09
sealfs,139.09
ext4,139.08
ext4,139.08
ext4,139.08
sealfs,139.08
ext4,139.07
ext4,139.07
ext4,139.07
sealfs,139.07
ext4,139.06
ext4,139.06
ext4,139.06
ext4,139.05
ext4,139.05
ext4,139.05
ext4,139.05
ext4,139.05
sealfs,139.05
sealfs,139.05
ext4,139.04
ext4,139.04
sealfs,139.04
sealfs,139.04
sealfs,139.04
sealfs,139.04
ext4,139.03
sealfs,139.03
sealfs,139.03
sealfs,139.03
sealfs,139.03
sealfs,139.03
sealfs,139.03
ext4,139.02
ext4,139.02
ext4,139.02
ext4,139.02
ext4,139.01
ext4,139.01
ext4,139.01
ext4,139.01
ext4,139.01
ext4,139.01
sealfs,139.01
ext4,139
ext4,139
sealfs,139
ext4,138.99
ext4,138.99
sealfs,138.99
sealfs,138.99
sealfs,138.99
sealfs,138.99
ext4,138.98
ext4,138.98
ext4,138.98
ext4,138.98
ext4,138.98
sealfs,138.98
ext4,138.97
ext4,138.97
ext4,138.97
sealfs,138.97
sealfs,138.97
sealfs,138.97
sealfs,138.97
sealfs,138.97
ext4,138.96
ext4,138.96
sealfs,138.96
ext4,138.95
sealfs,138.95
sealfs,138.95
ext4,138.94
ext4,138.94
ext4,138.94
sealfs,138.94
sealfs,138.94
ext4,138.93
ext4,138.93
ext4,138.93
ext4,138.93
ext4,138.93
ext4,138.93
ext4,138.93
sealfs,138.93
sealfs,138.92
sealfs,138.92
ext4,138.91
ext4,138.91
sealfs,138.91
sealfs,138.91
sealfs,138.9
sealfs,138.9
sealfs,138.9
sealfs,138.9
sealfs,138.9
sealfs,138.9
ext4,138.88
ext4,138.88
ext4,138.88
ext4,138.88
sealfs,138.88
sealfs,138.88
sealfs,138.87
sealfs,138.87
sealfs,138.87
sealfs,138.87
sealfs,138.87
ext4,138.86
ext4,138.86
ext4,138.86
sealfs,138.86
sealfs,138.86
ext4,138.85
ext4,138.85
ext4,138.85
sealfs,138.85
ext4,138.84
ext4,138.84
ext4,138.84
ext4,138.84
ext4,138.84
sealfs,138.84
ext4,138.83
ext4,138.83
sealfs,138.83
ext4,138.82
ext4,138.82
sealfs,138.82
sealfs,138.82
ext4,138.81
ext4,138.81
sealfs,138.81
ext4,138.8
sealfs,138.8
sealfs,138.8
ext4,138.79
ext4,138.79
sealfs,138.79
sealfs,138.79
sealfs,138.79
sealfs,138.79
sealfs,138.79
ext4,138.78
ext4,138.78
ext4,138.78
sealfs,138.78
sealfs,138.78
sealfs,138.78
sealfs,138.78
sealfs,138.78
ext4,138.77
ext4,138.77
ext4,138.77
sealfs,138.77
sealfs,138.76
ext4,138.75
ext4,138.75
sealfs,138.75
sealfs,138.75
sealfs,138.75
sealfs,138.75
sealfs,138.75
sealfs,138.75
ext4,138.74
ext4,138.74
ext4,138.74
ext4,138.74
sealfs,138.74
ext4,138.73
ext4,138.73
ext4,138.73
ext4,138.73
