TiAGo Throughtput on Video Test,Bandwidth (kB/s)
ext4,10342.4
ext4,10352.64
ext4,10352.64
sealfs,10352.64
sealfs,10352.64
sealfs,10352.64
sealfs,10362.88
sealfs,10362.88
sealfs,10362.88
sealfs,10362.88
sealfs,10362.88
sealfs,10362.88
ext4,10373.12
ext4,10373.12
sealfs,10373.12
sealfs,10373.12
ext4,10383.36
sealfs,10383.36
ext4,10393.6
ext4,10393.6
ext4,10393.6
sealfs,10393.6
sealfs,10393.6
ext4,10403.84
ext4,10403.84
ext4,10403.84
ext4,10403.84
ext4,10403.84
sealfs,10403.84
sealfs,10403.84
sealfs,10403.84
sealfs,10403.84
ext4,10414.08
ext4,10414.08
ext4,10414.08
sealfs,10414.08
sealfs,10414.08
ext4,10424.32
ext4,10424.32
ext4,10424.32
sealfs,10424.32
sealfs,10424.32
sealfs,10424.32
sealfs,10424.32
ext4,10434.56
ext4,10434.56
ext4,10434.56
ext4,10434.56
sealfs,10434.56
sealfs,10434.56
sealfs,10434.56
sealfs,10434.56
ext4,10444.8
ext4,10444.8
ext4,10444.8
ext4,10444.8
sealfs,10444.8
sealfs,10455.04
sealfs,10455.04
ext4,10465.28
ext4,10465.28
ext4,10465.28
ext4,10465.28
ext4,10465.28
ext4,10465.28
sealfs,10465.28
sealfs,10465.28
sealfs,10465.28
sealfs,10465.28
ext4,10475.52
ext4,10475.52
ext4,10475.52
ext4,10475.52
sealfs,10475.52
sealfs,10475.52
ext4,10485.76
ext4,10485.76
ext4,10485.76
ext4,10485.76
ext4,10485.76
sealfs,10485.76
sealfs,10485.76
sealfs,10485.76
sealfs,10485.76
sealfs,10485.76
ext4,10496
ext4,10496
ext4,10496
sealfs,10496
sealfs,10496
sealfs,10496
sealfs,10506.24
sealfs,10506.24
sealfs,10506.24
sealfs,10506.24
sealfs,10506.24
ext4,10516.48
ext4,10516.48
ext4,10516.48
ext4,10516.48
ext4,10516.48
sealfs,10516.48
sealfs,10516.48
sealfs,10516.48
ext4,10526.72
ext4,10526.72
ext4,10526.72
ext4,10526.72
sealfs,10526.72
sealfs,10526.72
sealfs,10526.72
sealfs,10526.72
ext4,10536.96
ext4,10536.96
ext4,10536.96
ext4,10536.96
ext4,10536.96
sealfs,10536.96
sealfs,10536.96
ext4,10547.2
ext4,10547.2
ext4,10547.2
ext4,10547.2
ext4,10547.2
sealfs,10547.2
sealfs,10547.2
ext4,10557.44
ext4,10557.44
sealfs,10557.44
sealfs,10557.44
sealfs,10557.44
sealfs,10557.44
ext4,10567.68
ext4,10567.68
ext4,10567.68
ext4,10567.68
ext4,10567.68
ext4,10567.68
ext4,10567.68
ext4,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
sealfs,10567.68
ext4,10577.92
ext4,10577.92
ext4,10577.92
ext4,10577.92
ext4,10577.92
ext4,10577.92
ext4,10577.92
ext4,10577.92
sealfs,10577.92
sealfs,10577.92
sealfs,10577.92
sealfs,10577.92
sealfs,10577.92
sealfs,10577.92
