Summit Latency on Video Test,time (uS)
ext4_write,1399.829
ext4_write,1399.875
ext4_write,1399.928
ext4_write,1399.937
ext4_write,1399.949
ext4_write,1400.001
ext4_write,1400.009
ext4_write,1400.026
ext4_write,1400.037
ext4_write,1400.061
ext4_write,1400.088
ext4_write,1400.097
ext4_write,1400.099
ext4_write,1400.127
ext4_write,1400.131
ext4_write,1400.145
ext4_write,1400.154
ext4_write,1400.158
ext4_write,1400.164
ext4_write,1400.197
ext4_write,1400.243
ext4_write,1400.252
ext4_write,1400.255
ext4_write,1400.285
ext4_write,1400.298
ext4_write,1400.309
ext4_write,1400.323
ext4_write,1400.338
ext4_write,1400.36
ext4_write,1400.468
ext4_write,1400.484
ext4_write,1400.54
ext4_write,1400.542
ext4_write,1400.553
ext4_write,1400.575
ext4_write,1400.632
ext4_write,1400.643
ext4_write,1400.651
ext4_write,1400.689
ext4_write,1400.695
ext4_write,1400.702
ext4_write,1400.704
ext4_write,1400.744
ext4_write,1400.746
ext4_write,1400.748
ext4_write,1400.762
ext4_write,1400.832
ext4_write,1400.845
ext4_write,1400.854
ext4_write,1400.862
ext4_write,1400.865
ext4_write,1400.865
ext4_write,1400.872
ext4_write,1400.903
ext4_write,1400.91
ext4_write,1400.918
ext4_write,1400.952
ext4_write,1400.959
ext4_write,1400.963
ext4_write,1400.966
ext4_write,1400.969
ext4_write,1400.978
ext4_write,1400.982
ext4_write,1401.031
ext4_write,1401.063
ext4_write,1401.09
ext4_write,1401.128
ext4_write,1401.146
ext4_write,1401.166
ext4_write,1401.169
ext4_write,1401.174
ext4_write,1401.2
ext4_write,1401.207
ext4_write,1401.248
ext4_write,1401.289
ext4_write,1401.305
ext4_write,1401.324
ext4_write,1401.379
ext4_write,1401.385
ext4_write,1401.39
ext4_write,1401.391
ext4_write,1401.44
ext4_write,1401.443
ext4_write,1401.444
ext4_write,1401.595
ext4_write,1401.636
ext4_write,1401.652
ext4_write,1401.68
ext4_write,1401.701
ext4_write,1401.704
ext4_write,1401.709
ext4_write,1401.736
ext4_write,1401.749
ext4_write,1401.781
ext4_write,1401.79
ext4_write,1401.806
ext4_write,1401.807
ext4_write,1401.811
ext4_write,1401.821
ext4_write,1401.841
ext4_write,1401.849
ext4_write,1401.865
ext4_write,1401.886
ext4_write,1401.895
ext4_write,1401.9
ext4_write,1401.937
ext4_write,1401.965
ext4_write,1401.973
ext4_write,1401.995
ext4_write,1402.048
ext4_write,1402.049
ext4_write,1402.08
ext4_write,1402.08
ext4_write,1402.098
ext4_write,1402.099
ext4_write,1402.131
ext4_write,1402.139
ext4_write,1402.167
ext4_write,1402.204
ext4_write,1402.323
ext4_write,1402.367
ext4_write,1402.368
ext4_write,1402.377
ext4_write,1402.4
ext4_write,1402.414
ext4_write,1402.417
ext4_write,1402.445
ext4_write,1402.474
ext4_write,1402.506
ext4_write,1402.508
ext4_write,1402.511
ext4_write,1402.6
ext4_write,1402.715
ext4_write,1402.718
ext4_write,1402.745
ext4_write,1402.746
ext4_write,1402.797
ext4_write,1402.797
ext4_write,1402.804
ext4_write,1402.823
ext4_write,1402.886
ext4_write,1402.9
ext4_write,1402.915
ext4_write,1402.925
ext4_write,1402.98
ext4_write,1402.991
ext4_write,1403.032
ext4_write,1403.034
ext4_write,1403.038
ext4_write,1403.064
ext4_write,1403.09
ext4_write,1403.095
ext4_write,1403.136
ext4_write,1403.252
ext4_write,1403.26
ext4_write,1403.297
ext4_write,1403.305
ext4_write,1403.307
ext4_write,1403.366
ext4_write,1403.408
ext4_write,1403.415
ext4_write,1403.417
ext4_write,1403.47
ext4_write,1403.471
ext4_write,1403.496
ext4_write,1403.56
ext4_write,1403.596
ext4_write,1403.641
ext4_write,1403.662
ext4_write,1403.666
ext4_write,1403.681
ext4_write,1403.724
ext4_write,1403.738
ext4_write,1403.742
ext4_write,1403.746
ext4_write,1403.773
ext4_write,1403.778
ext4_write,1403.811
ext4_write,1403.827
ext4_write,1403.855
ext4_write,1403.917
ext4_write,1403.919
ext4_write,1403.943
ext4_write,1403.962
ext4_write,1404.02
ext4_write,1404.054
ext4_write,1404.084
ext4_write,1404.107
ext4_write,1404.11
ext4_write,1404.112
ext4_write,1404.113
ext4_write,1404.124
ext4_write,1404.159
ext4_write,1404.178
ext4_write,1404.21
ext4_write,1404.228
ext4_write,1404.233
ext4_write,1404.269
ext4_write,1404.327
ext4_write,1404.336
ext4_write,1404.358
ext4_write,1404.411
ext4_write,1404.442
ext4_write,1404.46
ext4_write,1404.481
ext4_write,1404.495
ext4_write,1404.506
ext4_write,1404.516
ext4_write,1404.517
ext4_write,1404.52
ext4_write,1404.568
ext4_write,1404.571
ext4_write,1404.59
ext4_write,1404.607
ext4_write,1404.626
ext4_write,1404.642
ext4_write,1404.679
ext4_write,1404.703
ext4_write,1404.708
ext4_write,1404.709
ext4_write,1404.721
ext4_write,1404.763
ext4_write,1404.772
ext4_write,1404.792
ext4_write,1404.842
ext4_write,1404.865
ext4_write,1404.874
ext4_write,1404.893
ext4_write,1404.906
ext4_write,1404.919
ext4_write,1405.004
ext4_write,1405.074
ext4_write,1405.153
ext4_write,1405.16
ext4_write,1405.198
ext4_write,1405.207
ext4_write,1405.218
ext4_write,1405.291
ext4_write,1405.293
ext4_write,1405.3
ext4_write,1405.3
ext4_write,1405.318
ext4_write,1405.428
ext4_write,1405.428
ext4_write,1405.49
ext4_write,1405.491
ext4_write,1405.493
ext4_write,1405.53
ext4_write,1405.538
ext4_write,1405.555
ext4_write,1405.565
ext4_write,1405.584
ext4_write,1405.601
ext4_write,1405.606
ext4_write,1405.615
ext4_write,1405.617
ext4_write,1405.623
ext4_write,1405.642
ext4_write,1405.644
ext4_write,1405.655
ext4_write,1405.754
ext4_write,1405.757
ext4_write,1405.772
ext4_write,1405.777
ext4_write,1405.822
ext4_write,1405.825
ext4_write,1405.854
ext4_write,1405.872
ext4_write,1405.877
ext4_write,1405.891
ext4_write,1405.899
ext4_write,1405.944
ext4_write,1405.944
ext4_write,1405.974
ext4_write,1406.002
ext4_write,1406.025
ext4_write,1406.035
ext4_write,1406.052
ext4_write,1406.128
ext4_write,1406.143
ext4_write,1406.153
ext4_write,1406.208
ext4_write,1406.242
ext4_write,1406.246
ext4_write,1406.296
ext4_write,1406.312
ext4_write,1406.351
ext4_write,1406.354
ext4_write,1406.36
ext4_write,1406.4
ext4_write,1406.434
ext4_write,1406.498
ext4_write,1406.537
ext4_write,1406.606
ext4_write,1406.613
ext4_write,1406.652
ext4_write,1406.667
ext4_write,1406.679
ext4_write,1406.682
ext4_write,1406.687
ext4_write,1406.695
ext4_write,1406.699
ext4_write,1406.704
ext4_write,1406.737
ext4_write,1406.74
ext4_write,1406.77
ext4_write,1406.785
ext4_write,1406.876
ext4_write,1406.883
ext4_write,1406.947
ext4_write,1406.952
ext4_write,1407.006
ext4_write,1407.016
ext4_write,1407.032
ext4_write,1407.056
ext4_write,1407.069
ext4_write,1407.076
ext4_write,1407.162
ext4_write,1407.166
ext4_write,1407.2
ext4_write,1407.214
ext4_write,1407.235
ext4_write,1407.308
ext4_write,1407.36
ext4_write,1407.39
ext4_write,1407.429
ext4_write,1407.477
ext4_write,1407.535
ext4_write,1407.554
ext4_write,1407.586
ext4_write,1407.595
ext4_write,1407.601
ext4_write,1407.624
ext4_write,1407.629
ext4_write,1407.643
ext4_write,1407.679
ext4_write,1407.712
ext4_write,1407.743
ext4_write,1407.754
ext4_write,1407.774
ext4_write,1407.781
ext4_write,1407.785
ext4_write,1407.801
ext4_write,1407.81
ext4_write,1407.83
ext4_write,1407.834
ext4_write,1407.937
ext4_write,1407.939
ext4_write,1407.953
ext4_write,1407.967
ext4_write,1407.996
ext4_write,1408.017
ext4_write,1408.054
ext4_write,1408.069
ext4_write,1408.106
ext4_write,1408.136
ext4_write,1408.138
ext4_write,1408.186
ext4_write,1408.216
ext4_write,1408.225
ext4_write,1408.26
ext4_write,1408.264
ext4_write,1408.269
ext4_write,1408.294
ext4_write,1408.305
ext4_write,1408.36
ext4_write,1408.364
ext4_write,1408.404
ext4_write,1408.409
ext4_write,1408.438
ext4_write,1408.514
ext4_write,1408.555
ext4_write,1408.653
ext4_write,1408.688
ext4_write,1408.703
ext4_write,1408.706
ext4_write,1408.711
ext4_write,1408.713
ext4_write,1408.801
ext4_write,1408.963
ext4_write,1408.965
ext4_write,1408.972
ext4_write,1408.991
ext4_write,1409
ext4_write,1409.016
