Summit Latency on Audio Test,time (uS)
ext4_write,82.122
ext4_write,82.113
ext4_write,82.098
ext4_write,82.073
ext4_write,82.058
ext4_write,82.058
ext4_write,82.058
ext4_write,82.057
ext4_write,82.053
ext4_write,82.052
ext4_write,82.04
ext4_write,82.028
ext4_write,82.021
ext4_write,82.015
ext4_write,81.957
ext4_write,81.947
ext4_write,81.946
ext4_write,81.944
ext4_write,81.931
ext4_write,81.925
ext4_write,81.925
ext4_write,81.916
ext4_write,81.913
ext4_write,81.908
ext4_write,81.906
ext4_write,81.905
ext4_write,81.903
ext4_write,81.872
ext4_write,81.869
ext4_write,81.867
ext4_write,81.863
ext4_write,81.862
ext4_write,81.854
ext4_write,81.852
ext4_write,81.849
ext4_write,81.829
ext4_write,81.825
ext4_write,81.817
ext4_write,81.815
ext4_write,81.813
ext4_write,81.809
ext4_write,81.801
ext4_write,81.8
ext4_write,81.791
ext4_write,81.779
ext4_write,81.773
ext4_write,81.771
ext4_write,81.767
ext4_write,81.767
ext4_write,81.758
ext4_write,81.753
ext4_write,81.753
ext4_write,81.742
ext4_write,81.735
ext4_write,81.732
ext4_write,81.724
ext4_write,81.698
ext4_write,81.694
ext4_write,81.689
ext4_write,81.687
ext4_write,81.665
ext4_write,81.655
ext4_write,81.648
ext4_write,81.645
ext4_write,81.638
ext4_write,81.63
ext4_write,81.621
ext4_write,81.608
ext4_write,81.607
ext4_write,81.604
ext4_write,81.597
ext4_write,81.596
ext4_write,81.585
ext4_write,81.571
ext4_write,81.57
ext4_write,81.57
ext4_write,81.57
ext4_write,81.563
ext4_write,81.558
ext4_write,81.552
ext4_write,81.542
ext4_write,81.538
ext4_write,81.527
ext4_write,81.517
ext4_write,81.483
ext4_write,81.481
ext4_write,81.477
ext4_write,81.472
ext4_write,81.471
ext4_write,81.47
ext4_write,81.47
ext4_write,81.466
ext4_write,81.465
ext4_write,81.459
ext4_write,81.454
ext4_write,81.447
ext4_write,81.439
ext4_write,81.434
ext4_write,81.424
ext4_write,81.417
ext4_write,81.403
ext4_write,81.399
ext4_write,81.396
ext4_write,81.395
ext4_write,81.363
ext4_write,81.36
ext4_write,81.359
ext4_write,81.346
ext4_write,81.34
ext4_write,81.336
ext4_write,81.334
ext4_write,81.332
ext4_write,81.329
ext4_write,81.323
ext4_write,81.32
ext4_write,81.314
ext4_write,81.295
ext4_write,81.292
ext4_write,81.291
ext4_write,81.289
ext4_write,81.288
ext4_write,81.28
ext4_write,81.27
ext4_write,81.266
ext4_write,81.223
ext4_write,81.213
ext4_write,81.203
ext4_write,81.191
ext4_write,81.184
ext4_write,81.182
ext4_write,81.173
ext4_write,81.17
ext4_write,81.163
ext4_write,81.154
ext4_write,81.139
ext4_write,81.133
ext4_write,81.132
ext4_write,81.131
ext4_write,81.122
ext4_write,81.111
ext4_write,81.109
ext4_write,81.106
ext4_write,81.091
ext4_write,81.083
ext4_write,81.082
ext4_write,81.081
ext4_write,81.078
ext4_write,81.076
ext4_write,81.07
ext4_write,81.065
ext4_write,81.061
ext4_write,81.044
ext4_write,81.04
ext4_write,81.039
ext4_write,81.034
ext4_write,81.032
ext4_write,81.026
ext4_write,81.025
ext4_write,81.021
ext4_write,81.021
ext4_write,81.014
ext4_write,81.01
ext4_write,81.003
ext4_write,81.002
ext4_write,80.998
ext4_write,80.993
ext4_write,80.985
ext4_write,80.97
ext4_write,80.958
ext4_write,80.958
ext4_write,80.953
ext4_write,80.948
ext4_write,80.947
ext4_write,80.933
ext4_write,80.923
ext4_write,80.923
ext4_write,80.92
ext4_write,80.908
ext4_write,80.906
ext4_write,80.906
ext4_write,80.867
ext4_write,80.863
ext4_write,80.861
ext4_write,80.859
ext4_write,80.858
ext4_write,80.857
ext4_write,80.856
ext4_write,80.848
ext4_write,80.847
ext4_write,80.845
ext4_write,80.835
ext4_write,80.833
ext4_write,80.83
ext4_write,80.823
ext4_write,80.812
ext4_write,80.804
ext4_write,80.803
ext4_write,80.799
ext4_write,80.793
ext4_write,80.782
ext4_write,80.778
ext4_write,80.777
ext4_write,80.776
ext4_write,80.771
ext4_write,80.768
ext4_write,80.768
ext4_write,80.733
ext4_write,80.73
ext4_write,80.725
ext4_write,80.724
ext4_write,80.712
ext4_write,80.695
ext4_write,80.688
ext4_write,80.687
ext4_write,80.677
ext4_write,80.677
ext4_write,80.674
ext4_write,80.669
ext4_write,80.665
ext4_write,80.659
ext4_write,80.647
ext4_write,80.642
ext4_write,80.641
ext4_write,80.638
ext4_write,80.628
ext4_write,80.621
ext4_write,80.614
ext4_write,80.61
ext4_write,80.609
ext4_write,80.604
ext4_write,80.599
ext4_write,80.573
ext4_write,80.562
ext4_write,80.555
ext4_write,80.548
ext4_write,80.539
ext4_write,80.517
ext4_write,80.504
ext4_write,80.503
ext4_write,80.502
ext4_write,80.499
ext4_write,80.496
ext4_write,80.494
ext4_write,80.493
ext4_write,80.475
ext4_write,80.469
ext4_write,80.465
ext4_write,80.462
ext4_write,80.461
ext4_write,80.459
ext4_write,80.458
ext4_write,80.457
ext4_write,80.454
ext4_write,80.449
ext4_write,80.449
ext4_write,80.438
ext4_write,80.436
ext4_write,80.433
ext4_write,80.417
ext4_write,80.414
ext4_write,80.414
ext4_write,80.412
ext4_write,80.409
ext4_write,80.403
ext4_write,80.4
ext4_write,80.392
ext4_write,80.388
ext4_write,80.386
ext4_write,80.377
ext4_write,80.366
ext4_write,80.366
ext4_write,80.365
ext4_write,80.363
ext4_write,80.346
ext4_write,80.343
ext4_write,80.338
ext4_write,80.337
ext4_write,80.333
ext4_write,80.331
ext4_write,80.329
ext4_write,80.322
ext4_write,80.31
ext4_write,80.303
ext4_write,80.292
ext4_write,80.287
ext4_write,80.278
ext4_write,80.272
ext4_write,80.27
ext4_write,80.264
ext4_write,80.248
ext4_write,80.245
ext4_write,80.236
ext4_write,80.227
ext4_write,80.227
ext4_write,80.222
ext4_write,80.221
ext4_write,80.221
ext4_write,80.22
ext4_write,80.213
ext4_write,80.207
ext4_write,80.204
ext4_write,80.202
ext4_write,80.202
ext4_write,80.198
ext4_write,80.196
ext4_write,80.195
ext4_write,80.194
ext4_write,80.191
ext4_write,80.179
ext4_write,80.179
ext4_write,80.173
ext4_write,80.169
ext4_write,80.167
ext4_write,80.154
ext4_write,80.151
ext4_write,80.143
ext4_write,80.139
ext4_write,80.135
ext4_write,80.134
ext4_write,80.132
ext4_write,80.129
ext4_write,80.126
ext4_write,80.125
ext4_write,80.12
ext4_write,80.111
ext4_write,80.1
ext4_write,80.088
ext4_write,80.088
ext4_write,80.086
ext4_write,80.084
ext4_write,80.081
ext4_write,80.081
ext4_write,80.075
ext4_write,80.064
ext4_write,80.062
ext4_write,80.055
ext4_write,80.049
ext4_write,80.037
ext4_write,80.035
ext4_write,80.026
ext4_write,80.021
ext4_write,80.019
ext4_write,80.018
ext4_write,80.013
ext4_write,80.009
ext4_write,79.996
ext4_write,79.985
ext4_write,79.982
ext4_write,79.978
ext4_write,79.971
ext4_write,79.955
ext4_write,79.936
ext4_write,79.93
ext4_write,79.928
ext4_write,79.919
ext4_write,79.899
ext4_write,79.894
ext4_write,79.892
ext4_write,79.891
ext4_write,79.891
ext4_write,79.89
ext4_write,79.889
ext4_write,79.888
ext4_write,79.872
ext4_write,79.871
ext4_write,79.866
ext4_write,79.861
ext4_write,79.861
ext4_write,79.858
ext4_write,79.855
ext4_write,79.843
ext4_write,79.841
ext4_write,79.84
ext4_write,79.84
ext4_write,79.839
ext4_write,79.838
ext4_write,79.833
ext4_write,79.824
ext4_write,79.822
ext4_write,79.82
ext4_write,79.819
ext4_write,79.818
ext4_write,79.816
ext4_write,79.796
ext4_write,79.793
ext4_write,79.79
ext4_write,79.786
ext4_write,79.766
ext4_write,79.761
ext4_write,79.761
ext4_write,79.759
ext4_write,79.754
ext4_write,79.751
ext4_write,79.741
ext4_write,79.739
ext4_write,79.735
ext4_write,79.734
ext4_write,79.729
ext4_write,79.719
ext4_write,79.719
ext4_write,79.717
ext4_write,79.708
ext4_write,79.706
ext4_write,79.703
ext4_write,79.699
ext4_write,79.699
ext4_write,79.696
ext4_write,79.685
ext4_write,79.684
ext4_write,79.683
ext4_write,79.68
ext4_write,79.675
ext4_write,79.67
ext4_write,79.67
ext4_write,79.661
ext4_write,79.659
ext4_write,79.644
ext4_write,79.642
ext4_write,79.637
ext4_write,79.62
ext4_write,79.617
ext4_write,79.614
ext4_write,79.613
ext4_write,79.606
ext4_write,79.599
ext4_write,79.597
ext4_write,79.597
ext4_write,79.596
ext4_write,79.595
ext4_write,79.594
ext4_write,79.594
ext4_write,79.591
ext4_write,79.589
ext4_write,79.588
ext4_write,79.588
ext4_write,79.585
ext4_write,79.571
ext4_write,79.568
ext4_write,79.568
ext4_write,79.544
ext4_write,79.541
ext4_write,79.54
ext4_write,79.533
ext4_write,79.532
ext4_write,79.529
ext4_write,79.525
ext4_write,79.525
ext4_write,79.525
ext4_write,79.523
ext4_write,79.508
ext4_write,79.504
ext4_write,79.501
ext4_write,79.5
ext4_write,79.492
ext4_write,79.47
ext4_write,79.469
ext4_write,79.469
ext4_write,79.467
ext4_write,79.464
ext4_write,79.452
ext4_write,79.452
ext4_write,79.451
ext4_write,79.45
ext4_write,79.446
ext4_write,79.444
ext4_write,79.443
ext4_write,79.436
ext4_write,79.431
ext4_write,79.427
ext4_write,79.425
ext4_write,79.422
ext4_write,79.419
ext4_write,79.419
ext4_write,79.417
ext4_write,79.414
ext4_write,79.406
ext4_write,79.404
ext4_write,79.397
ext4_write,79.397
ext4_write,79.389
ext4_write,79.386
ext4_write,79.383
ext4_write,79.377
ext4_write,79.366
ext4_write,79.361
ext4_write,79.357
ext4_write,79.352
ext4_write,79.35
ext4_write,79.35
ext4_write,79.349
ext4_write,79.342
ext4_write,79.34
ext4_write,79.335
ext4_write,79.331
ext4_write,79.323
ext4_write,79.309
ext4_write,79.3
ext4_write,79.296
ext4_write,79.285
ext4_write,79.281
ext4_write,79.272
ext4_write,79.264
ext4_write,79.264
ext4_write,79.259
ext4_write,79.257
ext4_write,79.255
ext4_write,79.253
ext4_write,79.252
ext4_write,79.224
ext4_write,79.22
ext4_write,79.218
ext4_write,79.213
ext4_write,79.211
ext4_write,79.21
ext4_write,79.209
ext4_write,79.208
ext4_write,79.206
ext4_write,79.205
ext4_write,79.201
ext4_write,79.198
ext4_write,79.182
ext4_write,79.182
ext4_write,79.173
ext4_write,79.165
ext4_write,79.159
ext4_write,79.156
ext4_write,79.154
ext4_write,79.152
ext4_write,79.134
ext4_write,79.128
ext4_write,79.122
ext4_write,79.12
ext4_write,79.106
ext4_write,79.105
ext4_write,79.103
ext4_write,79.096
ext4_write,79.094
ext4_write,79.081
ext4_write,79.08
ext4_write,79.072
ext4_write,79.071
ext4_write,79.07
ext4_write,79.068
ext4_write,79.065
ext4_write,79.063
ext4_write,79.062
ext4_write,79.058
ext4_write,79.056
ext4_write,79.047
ext4_write,79.045
ext4_write,79.045
ext4_write,79.04
ext4_write,79.015
ext4_write,79.013
ext4_write,79.002
ext4_write,78.991
ext4_write,78.985
ext4_write,78.985
ext4_write,78.978
ext4_write,78.972
ext4_write,78.968
ext4_write,78.961
ext4_write,78.959
ext4_write,78.954
ext4_write,78.942
ext4_write,78.94
ext4_write,78.938
ext4_write,78.937
ext4_write,78.935
ext4_write,78.933
ext4_write,78.926
ext4_write,78.913
ext4_write,78.905
ext4_write,78.903
ext4_write,78.902
ext4_write,78.899
ext4_write,78.895
ext4_write,78.893
ext4_write,78.89
ext4_write,78.888
ext4_write,78.888
ext4_write,78.886
ext4_write,78.883
ext4_write,78.88
ext4_write,78.879
ext4_write,78.874
ext4_write,78.867
ext4_write,78.864
ext4_write,78.864
ext4_write,78.861
ext4_write,78.861
ext4_write,78.857
ext4_write,78.854
ext4_write,78.853
ext4_write,78.843
ext4_write,78.838
ext4_write,78.837
ext4_write,78.829
ext4_write,78.825
ext4_write,78.824
ext4_write,78.821
ext4_write,78.816
ext4_write,78.814
ext4_write,78.812
ext4_write,78.809
ext4_write,78.804
ext4_write,78.801
ext4_write,78.801
ext4_write,78.793
ext4_write,78.792
ext4_write,78.788
ext4_write,78.786
ext4_write,78.784
ext4_write,78.781
ext4_write,78.781
ext4_write,78.775
ext4_write,78.77
ext4_write,78.768
ext4_write,78.761
ext4_write,78.761
ext4_write,78.759
ext4_write,78.758
ext4_write,78.752
ext4_write,78.745
ext4_write,78.736
ext4_write,78.736
ext4_write,78.726
ext4_write,78.725
ext4_write,78.714
ext4_write,78.712
ext4_write,78.712
ext4_write,78.703
ext4_write,78.701
ext4_write,78.693
ext4_write,78.692
ext4_write,78.691
ext4_write,78.689
ext4_write,78.686
ext4_write,78.685
ext4_write,78.68
ext4_write,78.673
ext4_write,78.673
ext4_write,78.669
ext4_write,78.663
ext4_write,78.658
ext4_write,78.657
ext4_write,78.656
ext4_write,78.65
ext4_write,78.648
ext4_write,78.648
ext4_write,78.646
ext4_write,78.642
ext4_write,78.64
ext4_write,78.639
ext4_write,78.637
ext4_write,78.636
ext4_write,78.631
ext4_write,78.631
ext4_write,78.627
ext4_write,78.625
ext4_write,78.613
ext4_write,78.606
ext4_write,78.606
ext4_write,78.599
ext4_write,78.598
ext4_write,78.598
ext4_write,78.587
ext4_write,78.578
ext4_write,78.573
ext4_write,78.565
ext4_write,78.559
ext4_write,78.555
ext4_write,78.554
ext4_write,78.549
ext4_write,78.543
ext4_write,78.537
ext4_write,78.533
ext4_write,78.528
ext4_write,78.527
ext4_write,78.524
ext4_write,78.519
ext4_write,78.519
ext4_write,78.507
ext4_write,78.507
ext4_write,78.507
ext4_write,78.504
ext4_write,78.495
ext4_write,78.495
ext4_write,78.478
ext4_write,78.473
ext4_write,78.47
ext4_write,78.466
ext4_write,78.465
ext4_write,78.462
ext4_write,78.46
ext4_write,78.458
ext4_write,78.454
ext4_write,78.453
ext4_write,78.445
ext4_write,78.443
ext4_write,78.441
ext4_write,78.44
ext4_write,78.434
ext4_write,78.43
ext4_write,78.43
ext4_write,78.427
ext4_write,78.426
ext4_write,78.423
ext4_write,78.413
ext4_write,78.408
ext4_write,78.408
ext4_write,78.403
ext4_write,78.403
ext4_write,78.403
ext4_write,78.382
ext4_write,78.38
ext4_write,78.38
ext4_write,78.379
ext4_write,78.377
ext4_write,78.37
ext4_write,78.367
ext4_write,78.361
ext4_write,78.36
ext4_write,78.359
ext4_write,78.358
ext4_write,78.356
ext4_write,78.355
ext4_write,78.355
ext4_write,78.349
ext4_write,78.347
ext4_write,78.344
ext4_write,78.337
ext4_write,78.333
ext4_write,78.327
ext4_write,78.327
ext4_write,78.326
ext4_write,78.326
ext4_write,78.325
ext4_write,78.324
ext4_write,78.322
ext4_write,78.318
ext4_write,78.317
ext4_write,78.314
ext4_write,78.311
ext4_write,78.298
ext4_write,78.298
ext4_write,78.295
ext4_write,78.292
ext4_write,78.287
ext4_write,78.286
ext4_write,78.279
ext4_write,78.273
ext4_write,78.267
ext4_write,78.267
ext4_write,78.267
ext4_write,78.265
ext4_write,78.263
ext4_write,78.253
ext4_write,78.251
ext4_write,78.248
ext4_write,78.245
ext4_write,78.245
ext4_write,78.242
ext4_write,78.241
ext4_write,78.234
ext4_write,78.234
ext4_write,78.232
ext4_write,78.229
ext4_write,78.226
ext4_write,78.226
ext4_write,78.221
ext4_write,78.219
ext4_write,78.215
ext4_write,78.209
