Summit Latency on All Tests,time (uS)
sealfs_write_video,16659.97
sealfs_write_video,16656.46
sealfs_write_video,16656.15
sealfs_write_video,16654.17
sealfs_write_video,16653.55
sealfs_write_video,16651.94
sealfs_write_video,16649.17
sealfs_write_video,16648.23
sealfs_write_video,16644
sealfs_write_video,16643.07
sealfs_write_video,16642.49
sealfs_write_video,16642.24
sealfs_write_video,16637.54
sealfs_write_video,16637.2
sealfs_write_video,16637.17
sealfs_write_video,16631.7
sealfs_write_video,16631.64
sealfs_write_video,16630.2
sealfs_write_video,16629.87
sealfs_write_video,16629.5
sealfs_write_video,16627.29
sealfs_write_video,16626.81
sealfs_write_video,16626.77
sealfs_write_video,16625.51
sealfs_write_video,16621
sealfs_write_video,16620.14
sealfs_write_video,16619.92
sealfs_write_video,16619.2
sealfs_write_video,16613.51
sealfs_write_video,16612.87
sealfs_write_video,16612.06
sealfs_write_video,16610.77
sealfs_write_video,16606.55
sealfs_write_video,16605.26
sealfs_write_video,16600.72
sealfs_write_video,16600.64
sealfs_write_video,16597.53
sealfs_write_video,16595.25
sealfs_write_video,16593.17
sealfs_write_video,16590.11
sealfs_write_video,16589.51
sealfs_write_video,16587.81
sealfs_write_video,16587.56
sealfs_write_video,16585.29
sealfs_write_video,16583.14
sealfs_write_video,16581.81
sealfs_write_video,16579.93
sealfs_write_video,16579.32
sealfs_write_video,16577.52
sealfs_write_video,16575.55
sealfs_write_video,16574.76
sealfs_write_video,16573.21
sealfs_write_video,16572.65
sealfs_write_video,16572.11
sealfs_write_video,16571.54
sealfs_write_video,16570.36
sealfs_write_video,16567.92
sealfs_write_video,16561.16
sealfs_write_video,16560.97
sealfs_write_video,16556.85
sealfs_write_video,16556.1
sealfs_write_video,16553.6
sealfs_write_video,16551.5
sealfs_write_video,16549.64
sealfs_write_video,16544.8
sealfs_write_video,16544.18
sealfs_write_video,16543.07
sealfs_write_video,16540.93
sealfs_write_video,16539.32
sealfs_write_video,16538.35
sealfs_write_video,16536.69
sealfs_write_video,16536.27
sealfs_write_video,16533.51
sealfs_write_video,16532.86
sealfs_write_video,16528.78
sealfs_write_video,16525.61
sealfs_write_video,16525.08
sealfs_write_video,16524.87
sealfs_write_video,16522.01
sealfs_write_video,16519.59
sealfs_write_video,16513.6
sealfs_write_video,16512.69
sealfs_write_video,16512.13
sealfs_write_video,16500.77
sealfs_write_video,16488.45
sealfs_write_video,16481.87
sealfs_write_video,16473.56
sealfs_write_video,16472
sealfs_write_video,16463.11
sealfs_write_video,16461.17
sealfs_write_video,16459.13
sealfs_write_video,16453.41
sealfs_write_video,16452.54
sealfs_write_video,16451.49
sealfs_write_video,16443.97
sealfs_write_video,16443.09
sealfs_write_video,16439.27
sealfs_write_video,16437.69
sealfs_write_video,16434.34
sealfs_write_video,16433.56
sealfs_write_video,16432.74
sealfs_write_video,16413.61
sealfs_write_video,16409.98
sealfs_write_video,16407.76
sealfs_write_video,16405.02
sealfs_write_video,16400.72
sealfs_write_video,16392.34
sealfs_write_video,16376.67
sealfs_write_video,16376.01
sealfs_write_video,16375.51
sealfs_write_video,16370.55
sealfs_write_video,16367.17
sealfs_write_video,16365.68
sealfs_write_video,16362.83
sealfs_write_video,16358.89
sealfs_write_video,16358.04
sealfs_write_video,16353.73
sealfs_write_video,16352.72
sealfs_write_video,16348.87
sealfs_write_video,16343.29
sealfs_write_video,16343.11
sealfs_write_video,16342.89
sealfs_write_video,16342.81
sealfs_write_video,16340.46
sealfs_write_video,16337.96
sealfs_write_video,16336.83
sealfs_write_video,16334.24
sealfs_write_video,16332.6
sealfs_write_video,16329.42
sealfs_write_video,16326.35
sealfs_write_video,16326.02
sealfs_write_video,16325.67
sealfs_write_video,16324.78
sealfs_write_video,16323.75
sealfs_write_video,16322.49
sealfs_write_video,16315.23
sealfs_write_video,16314.6
sealfs_write_video,16313.22
sealfs_write_video,16308.77
sealfs_write_video,16308.06
sealfs_write_video,16307.52
sealfs_write_video,16306.74
sealfs_write_video,16305.11
sealfs_write_video,16305.06
sealfs_write_video,16303.53
sealfs_write_video,16303.15
sealfs_write_video,16300.99
sealfs_write_video,16299.12
sealfs_write_video,16298.67
sealfs_write_video,16291.74
sealfs_write_video,16291.01
sealfs_write_video,16290.33
sealfs_write_video,16289.57
sealfs_write_video,16289.48
sealfs_write_video,16286.72
sealfs_write_video,16282.74
sealfs_write_video,16282
sealfs_write_video,16281.19
sealfs_write_video,16280.74
sealfs_write_video,16279.23
sealfs_write_video,16278.41
sealfs_write_video,16278.27
sealfs_write_video,16277.47
sealfs_write_video,16277.17
sealfs_write_video,16274.9
sealfs_write_video,16273.06
sealfs_write_video,16262.01
sealfs_write_video,16260.51
sealfs_write_video,16257.84
sealfs_write_video,16257.48
sealfs_write_video,16254.99
sealfs_write_video,16251.14
sealfs_write_video,16250.48
sealfs_write_video,16243.63
sealfs_write_video,16242.22
sealfs_write_video,16239.42
sealfs_write_video,16239.23
sealfs_write_video,16238.34
sealfs_write_video,16237.65
sealfs_write_video,16232.86
sealfs_write_video,16232.57
sealfs_write_video,16231.03
sealfs_write_video,16230.75
sealfs_write_video,16229.06
sealfs_write_video,16226.31
sealfs_write_video,16220.38
sealfs_write_video,16217.2
sealfs_write_video,16216.93
sealfs_write_video,16214.49
sealfs_write_video,16211.02
sealfs_write_video,16209.92
sealfs_write_video,16209.85
sealfs_write_video,16208.33
sealfs_write_video,16206.74
sealfs_write_video,16205.8
sealfs_write_video,16203.1
sealfs_write_video,16202.03
sealfs_write_video,16199.9
sealfs_write_video,16199.29
sealfs_write_video,16197.26
sealfs_write_video,16196.56
sealfs_write_video,16194.88
sealfs_write_video,16194.59
sealfs_write_video,16194.45
sealfs_write_video,16193.44
sealfs_write_video,16192.48
sealfs_write_video,16192.17
sealfs_write_video,16190.18
sealfs_write_video,16188.82
sealfs_write_video,16188.02
sealfs_write_video,16184.56
sealfs_write_video,16183.93
sealfs_write_video,16182.14
sealfs_write_video,16181.37
sealfs_write_video,16179.04
sealfs_write_video,16178.91
sealfs_write_video,16178.59
sealfs_write_video,16176.42
sealfs_write_video,16176.36
sealfs_write_video,16172.33
sealfs_write_video,16171.94
sealfs_write_video,16169.17
sealfs_write_video,16169.15
sealfs_write_video,16167.23
sealfs_write_video,16166.28
sealfs_write_video,16164.12
sealfs_write_video,16160.83
sealfs_write_video,16156.35
sealfs_write_video,16153.16
sealfs_write_video,16152.82
sealfs_write_video,16152.68
sealfs_write_video,16152.34
sealfs_write_video,16151.87
sealfs_write_video,16148.69
sealfs_write_video,16146.91
sealfs_write_video,16142.11
sealfs_write_video,16141.48
sealfs_write_video,16136.29
sealfs_write_video,16135.56
sealfs_write_video,16132.07
sealfs_write_video,16129.01
sealfs_write_video,16128.53
sealfs_write_video,16127.01
sealfs_write_video,16126.69
sealfs_write_video,16121.03
sealfs_write_video,16114.61
sealfs_write_video,16112.15
sealfs_write_video,16111.44
sealfs_write_video,16108.46
sealfs_write_video,16098.42
sealfs_write_video,16096.03
sealfs_write_video,16095.37
sealfs_write_video,16091.11
sealfs_write_video,16089.75
sealfs_write_video,16088.84
sealfs_write_video,16087.96
sealfs_write_video,16087.88
sealfs_write_video,16086.08
sealfs_write_video,16075.67
sealfs_write_video,16072.72
sealfs_write_video,16069.32
sealfs_write_video,16061.3
sealfs_write_video,16057.54
sealfs_write_video,16050.62
sealfs_write_video,16046.64
sealfs_write_video,16045.7
sealfs_write_video,16043.84
sealfs_write_video,16043.52
sealfs_write_video,16021.7
sealfs_write_video,16021.39
sealfs_write_video,16020.61
sealfs_write_video,16019.38
sealfs_write_video,16019.31
sealfs_write_video,16008.49
sealfs_write_video,15991.52
sealfs_write_video,15988.84
sealfs_write_video,15988.64
sealfs_write_video,15984.23
sealfs_write_video,15982.76
sealfs_write_video,15979.72
sealfs_write_video,15977.92
sealfs_write_video,15972.78
sealfs_write_video,15964.13
sealfs_write_video,15957.99
sealfs_write_video,15954.99
sealfs_write_video,15952.69
sealfs_write_video,15950.98
sealfs_write_video,15940.84
sealfs_write_video,15940.42
sealfs_write_video,15934.77
sealfs_write_video,15923.17
sealfs_write_video,15922.05
sealfs_write_video,15918.84
sealfs_write_video,15909.81
sealfs_write_video,15908.2
sealfs_write_video,15905.94
sealfs_write_video,15902.18
sealfs_write_video,15896.36
sealfs_write_video,15885.47
sealfs_write_video,15882.21
sealfs_write_video,15873.69
sealfs_write_video,15872.86
sealfs_write_video,15871.1
sealfs_write_video,15859.23
sealfs_write_video,15856.85
sealfs_write_video,15853.67
sealfs_write_video,15849.21
sealfs_write_video,15833.33
sealfs_write_video,15823.01
sealfs_write_video,15817.44
sealfs_write_video,15811.52
sealfs_write_video,15779.12
